Date,Utility,SARS_CoV_2_copies_L,Number_of_New_COVID19_Cases_by_,ObjectId
08/06/2020,Loveland,,0,1
08/02/2020,Aurora,,10,2
08/15/2020,Metro Wastewater RWHTF - PRC,,36,3
08/06/2020,Metro Wastewater RWHTF - CC,17308.9,40,4
08/06/2020,Metro Wastewater RWHTF - PRC,7078.3,53,5
08/06/2020,Northglenn,,7,6
08/06/2020,Pueblo,17677.7,6,7
08/06/2020,Pueblo West,,0,8
08/06/2020,South Adams County,0,7,9
08/06/2020,South Fort Collins,19275.9,0,10
08/06/2020,SPR,15333.7,11,11
08/06/2020,Wellington Water and Sewer,,0,12
08/07/2020,Aurora,,29,13
08/07/2020,Boulder,,0,14
08/07/2020,Broomfield,,0,15
08/07/2020,CO Springs - JD Phillips,,5,16
08/07/2020,CO Springs - Las Vegas,,18,17
08/07/2020,Estes Park + Upper Thompson,,0,18
08/07/2020,Fort Collins - Boxelder,,0,19
08/07/2020,Fort Collins - Drake,,8,20
08/07/2020,Fort Collins - Mulberry,,0,21
08/07/2020,Greeley,,5,22
08/07/2020,Longmont,,0,23
08/07/2020,Louisville,,0,24
08/07/2020,Loveland,,0,25
08/07/2020,Metro Wastewater RWHTF - CC,,40,26
08/07/2020,Metro Wastewater RWHTF - PRC,,50,27
08/07/2020,Northglenn,,7,28
08/07/2020,Pueblo,,5,29
08/07/2020,Pueblo West,,0,30
08/07/2020,South Adams County,,9,31
08/07/2020,South Fort Collins,,0,32
08/07/2020,SPR,,8,33
08/07/2020,Wellington Water and Sewer,,0,34
08/08/2020,Aurora,,26,35
08/08/2020,Boulder,,0,36
08/08/2020,Broomfield,,0,37
08/08/2020,CO Springs - JD Phillips,,0,38
08/08/2020,CO Springs - Las Vegas,,15,39
08/08/2020,Estes Park + Upper Thompson,,0,40
08/08/2020,Fort Collins - Boxelder,,0,41
08/08/2020,Fort Collins - Drake,,6,42
08/08/2020,Fort Collins - Mulberry,,0,43
08/08/2020,Greeley,,0,44
08/08/2020,Longmont,,0,45
08/08/2020,Louisville,,0,46
08/08/2020,Loveland,,0,47
08/08/2020,Metro Wastewater RWHTF - CC,,30,48
08/08/2020,Metro Wastewater RWHTF - PRC,,48,49
08/08/2020,Northglenn,,5,50
08/08/2020,Pueblo,,0,51
08/08/2020,Pueblo West,,0,52
08/15/2020,Northglenn,,0,53
08/15/2020,Pueblo,,5,54
08/15/2020,Pueblo West,,0,55
08/15/2020,South Adams County,,0,56
08/15/2020,South Fort Collins,,0,57
08/15/2020,SPR,,7,58
08/15/2020,Wellington Water and Sewer,,0,59
08/16/2020,Aurora,,13,60
08/16/2020,Boulder,,0,61
08/16/2020,Broomfield,,0,62
08/16/2020,CO Springs - JD Phillips,,5,63
08/16/2020,CO Springs - Las Vegas,,12,64
08/16/2020,Estes Park + Upper Thompson,,0,65
08/16/2020,Fort Collins - Boxelder,,0,66
08/16/2020,Fort Collins - Drake,,0,67
08/16/2020,Fort Collins - Mulberry,,0,68
08/16/2020,Greeley,,0,69
08/16/2020,Longmont,,0,70
08/16/2020,Louisville,,0,71
08/16/2020,Loveland,,0,72
08/16/2020,Metro Wastewater RWHTF - CC,,22,73
08/16/2020,Metro Wastewater RWHTF - PRC,,42,74
08/16/2020,Northglenn,8660.3,0,75
08/16/2020,Pueblo,,5,76
08/16/2020,Pueblo West,,0,77
08/16/2020,South Adams County,,0,78
08/16/2020,South Fort Collins,,0,79
08/16/2020,SPR,,6,80
08/16/2020,Wellington Water and Sewer,,0,81
08/17/2020,Aurora,29500.8,14,82
08/17/2020,Boulder,3501.7,0,83
08/17/2020,Broomfield,0,0,84
08/17/2020,CO Springs - JD Phillips,13380.4,7,85
08/17/2020,CO Springs - Las Vegas,12423.4,11,86
08/17/2020,Estes Park + Upper Thompson,3578.8,0,87
08/17/2020,Fort Collins - Boxelder,279516,0,88
08/17/2020,Fort Collins - Drake,13455.6,5,89
08/17/2020,Fort Collins - Mulberry,1453.6,0,90
08/17/2020,Greeley,20071.1,0,91
08/17/2020,Longmont,5119,0,92
08/17/2020,Louisville,0,0,93
08/17/2020,Loveland,,0,94
08/17/2020,Metro Wastewater RWHTF - CC,,24,95
08/17/2020,Metro Wastewater RWHTF - PRC,24940.5,40,96
08/17/2020,Northglenn,,0,97
08/17/2020,Pueblo,14604.2,5,98
08/17/2020,Pueblo West,,0,99
08/17/2020,South Adams County,4106.2,5,100
08/17/2020,South Fort Collins,5676.9,0,101
08/02/2020,Boulder,,0,102
08/11/2020,Broomfield,,0,103
08/04/2020,Fort Collins - Boxelder,,0,104
08/02/2020,Broomfield,12868.8,0,105
08/02/2020,CO Springs - JD Phillips,24177.4,5,106
08/02/2020,CO Springs - Las Vegas,50393.5,15,107
08/02/2020,Estes Park + Upper Thompson,4811.4,0,108
08/02/2020,Fort Collins - Boxelder,71341.9,0,109
08/02/2020,Fort Collins - Drake,1322.7,0,110
08/02/2020,Fort Collins - Mulberry,0,0,111
08/02/2020,Greeley,3512.1,0,112
08/02/2020,Longmont,,0,113
08/02/2020,Louisville,1256.1,0,114
08/02/2020,Loveland,,0,115
08/02/2020,Metro Wastewater RWHTF - CC,14555.4,12,116
08/02/2020,Metro Wastewater RWHTF - PRC,6384.8,28,117
08/02/2020,Northglenn,,0,118
08/02/2020,Pueblo,2635.4,0,119
08/02/2020,Pueblo West,,0,120
08/02/2020,South Adams County,,0,121
08/02/2020,South Fort Collins,7099.6,0,122
08/02/2020,SPR,,9,123
08/02/2020,Wellington Water and Sewer,,0,124
08/03/2020,Aurora,,17,125
08/03/2020,Boulder,,0,126
08/03/2020,Broomfield,,0,127
08/03/2020,CO Springs - JD Phillips,,6,128
08/03/2020,CO Springs - Las Vegas,,27,129
