Date,Utility,SARS_CoV_2_copies_L,Number_of_New_COVID19_Cases_by_,ObjectId
08/02/2020,Aurora,,10,1
08/06/2020,Loveland,,0,2
08/11/2020,Broomfield,,0,3
08/02/2020,Boulder,,0,4
08/06/2020,Metro Wastewater RWHTF - CC,17308.9,40,5
08/11/2020,CO Springs - JD Phillips,,6,6
08/02/2020,Broomfield,12868.8,0,7
08/06/2020,Metro Wastewater RWHTF - PRC,7078.3,53,8
08/11/2020,CO Springs - Las Vegas,,22,9
08/02/2020,CO Springs - JD Phillips,24177.4,5,10
08/06/2020,Northglenn,,7,11
08/11/2020,Estes Park + Upper Thompson,,0,12
08/02/2020,CO Springs - Las Vegas,50393.5,15,13
08/06/2020,Pueblo,17677.7,6,14
08/11/2020,Fort Collins - Boxelder,,0,15
08/02/2020,Estes Park + Upper Thompson,4811.4,0,16
08/06/2020,Pueblo West,,0,17
08/11/2020,Fort Collins - Drake,,7,18
08/02/2020,Fort Collins - Boxelder,71341.9,0,19
08/06/2020,South Adams County,0,7,20
08/11/2020,Fort Collins - Mulberry,,0,21
08/02/2020,Fort Collins - Drake,1322.7,0,22
08/06/2020,South Fort Collins,19275.9,0,23
08/11/2020,Greeley,,6,24
08/02/2020,Fort Collins - Mulberry,0,0,25
08/06/2020,SPR,15333.7,11,26
08/11/2020,Longmont,,0,27
08/02/2020,Greeley,3512.1,0,28
08/06/2020,Wellington Water and Sewer,,0,29
08/11/2020,Louisville,,0,30
08/02/2020,Longmont,,0,31
08/07/2020,Aurora,,30,32
08/11/2020,Loveland,,0,33
08/02/2020,Louisville,1256.1,0,34
08/07/2020,Boulder,,0,35
08/11/2020,Metro Wastewater RWHTF - CC,,33,36
08/02/2020,Loveland,,0,37
08/07/2020,Broomfield,,0,38
08/11/2020,Metro Wastewater RWHTF - PRC,,49,39
08/02/2020,Metro Wastewater RWHTF - CC,14555.4,13,40
08/07/2020,CO Springs - JD Phillips,,5,41
08/11/2020,Northglenn,,0,42
08/02/2020,Metro Wastewater RWHTF - PRC,6384.8,28,43
08/15/2020,Metro Wastewater RWHTF - PRC,,36,44
08/07/2020,CO Springs - Las Vegas,,18,45
08/11/2020,Pueblo,,5,46
08/15/2020,Northglenn,,0,47
08/02/2020,Northglenn,,0,48
08/07/2020,Estes Park + Upper Thompson,,0,49
08/15/2020,Pueblo,,5,50
08/11/2020,Pueblo West,,0,51
08/02/2020,Pueblo,2635.4,0,52
08/07/2020,Fort Collins - Boxelder,,0,53
08/15/2020,Pueblo West,,0,54
08/11/2020,South Adams County,,6,55
08/02/2020,Pueblo West,,0,56
08/07/2020,Fort Collins - Drake,,8,57
08/15/2020,South Adams County,,0,58
08/11/2020,South Fort Collins,,0,59
08/02/2020,South Adams County,,0,60
08/07/2020,Fort Collins - Mulberry,,0,61
08/15/2020,South Fort Collins,,0,62
08/11/2020,SPR,,9,63
08/02/2020,South Fort Collins,7099.6,0,64
08/07/2020,Greeley,,5,65
08/15/2020,SPR,,7,66
08/11/2020,Wellington Water and Sewer,,0,67
08/02/2020,SPR,,9,68
08/07/2020,Longmont,,0,69
08/15/2020,Wellington Water and Sewer,,0,70
08/12/2020,Aurora,,25,71
08/02/2020,Wellington Water and Sewer,,0,72
08/07/2020,Louisville,,0,73
08/16/2020,Aurora,,13,74
08/12/2020,Boulder,,0,75
08/03/2020,Aurora,,16,76
08/07/2020,Loveland,,0,77
08/16/2020,Boulder,,0,78
08/12/2020,Broomfield,,0,79
08/03/2020,Boulder,,0,80
08/07/2020,Metro Wastewater RWHTF - CC,,40,81
08/16/2020,Broomfield,,0,82
08/12/2020,CO Springs - JD Phillips,,6,83
08/07/2020,Metro Wastewater RWHTF - PRC,,50,84
08/03/2020,Broomfield,,0,85
08/16/2020,CO Springs - JD Phillips,,5,86
08/12/2020,CO Springs - Las Vegas,,27,87
08/07/2020,Northglenn,,7,88
08/03/2020,CO Springs - JD Phillips,,6,89
08/03/2020,CO Springs - Las Vegas,,27,90
08/03/2020,Estes Park + Upper Thompson,,0,91
08/03/2020,Fort Collins - Boxelder,,0,92
08/03/2020,Fort Collins - Drake,,0,93
08/03/2020,Fort Collins - Mulberry,,0,94
08/03/2020,Greeley,,0,95
08/03/2020,Longmont,,0,96
08/03/2020,Louisville,,0,97
08/03/2020,Loveland,,0,98
08/03/2020,Metro Wastewater RWHTF - CC,,30,99
08/03/2020,Metro Wastewater RWHTF - PRC,,48,100
08/03/2020,Northglenn,,0,101
08/03/2020,Pueblo,,0,102
08/03/2020,Pueblo West,,0,103
08/03/2020,South Adams County,,6,104
08/03/2020,South Fort Collins,,0,105
08/03/2020,SPR,,12,106
08/03/2020,Wellington Water and Sewer,,0,107
08/04/2020,Aurora,,18,108
08/04/2020,Boulder,,0,109
08/04/2020,Broomfield,,0,110
08/04/2020,CO Springs - JD Phillips,,6,111
08/04/2020,CO Springs - Las Vegas,,25,112
08/04/2020,Estes Park + Upper Thompson,,0,113
08/16/2020,CO Springs - Las Vegas,,12,114
08/07/2020,Pueblo,,5,115
08/16/2020,Estes Park + Upper Thompson,,0,116
08/07/2020,Pueblo West,,0,117
08/16/2020,Fort Collins - Boxelder,,0,118
08/07/2020,South Adams County,,9,119
08/16/2020,Fort Collins - Drake,,0,120
08/12/2020,Estes Park + Upper Thompson,,0,121
08/07/2020,South Fort Collins,,0,122
08/16/2020,Fort Collins - Mulberry,,0,123
08/12/2020,Fort Collins - Boxelder,,0,124
08/07/2020,SPR,,8,125
08/16/2020,Greeley,,0,126
08/12/2020,Fort Collins - Drake,,9,127
08/07/2020,Wellington Water and Sewer,,0,128
08/16/2020,Longmont,,0,129
08/12/2020,Fort Collins - Mulberry,,0,130
08/08/2020,Aurora,,27,131
08/16/2020,Louisville,,0,132
08/12/2020,Greeley,,5,133
08/08/2020,Boulder,,0,134
08/16/2020,Loveland,,0,135
08/12/2020,Longmont,,0,136
08/08/2020,Broomfield,,0,137
08/16/2020,Metro Wastewater RWHTF - CC,,22,138
08/12/2020,Louisville,,0,139
08/08/2020,CO Springs - JD Phillips,,0,140
08/16/2020,Metro Wastewater RWHTF - PRC,,42,141
08/12/2020,Loveland,,0,142
08/08/2020,CO Springs - Las Vegas,,15,143
08/16/2020,Northglenn,8660.3,0,144
08/12/2020,Metro Wastewater RWHTF - CC,,35,145
08/08/2020,Estes Park + Upper Thompson,,0,146
08/16/2020,Pueblo,,5,147
08/12/2020,Metro Wastewater RWHTF - PRC,,53,148
08/08/2020,Fort Collins - Boxelder,,0,149
08/16/2020,Pueblo West,,0,150
