Date,Utility,SARS_CoV_2_copies_L,Number_of_New_COVID19_Cases_by_,ObjectId
08/07/2020,Loveland,,0,146
08/12/2020,CO Springs - JD Phillips,,6,147
08/07/2020,Metro Wastewater RWHTF - CC,,40,148
08/12/2020,CO Springs - Las Vegas,,27,149
08/07/2020,Metro Wastewater RWHTF - PRC,,50,150
08/12/2020,Estes Park + Upper Thompson,,0,151
08/07/2020,Northglenn,,7,152
08/12/2020,Fort Collins - Boxelder,,0,153
08/07/2020,Pueblo,,5,154
08/12/2020,Fort Collins - Drake,,9,155
08/07/2020,Pueblo West,,0,156
08/12/2020,Fort Collins - Mulberry,,0,157
08/07/2020,South Adams County,,9,158
08/12/2020,Greeley,,5,159
08/07/2020,South Fort Collins,,0,160
08/12/2020,Longmont,,0,161
08/07/2020,SPR,,8,162
08/12/2020,Louisville,,0,163
08/07/2020,Wellington Water and Sewer,,0,164
08/12/2020,Loveland,,0,165
08/08/2020,Aurora,,27,166
08/12/2020,Metro Wastewater RWHTF - CC,,35,167
08/08/2020,Boulder,,0,168
08/12/2020,Metro Wastewater RWHTF - PRC,,53,169
08/08/2020,Broomfield,,0,170
08/12/2020,Northglenn,,0,171
08/12/2020,Pueblo,,5,172
08/12/2020,Pueblo West,,0,173
08/12/2020,South Adams County,,6,174
08/12/2020,South Fort Collins,,0,175
08/12/2020,SPR,,9,176
08/12/2020,Wellington Water and Sewer,,0,177
08/13/2020,Aurora,25467.2,22,178
08/13/2020,Boulder,4958.5,0,179
08/13/2020,Broomfield,979.2,0,180
08/13/2020,CO Springs - JD Phillips,13182.4,5,181
08/13/2020,CO Springs - Las Vegas,23777,23,182
08/13/2020,Estes Park + Upper Thompson,102439.4,0,183
08/13/2020,Fort Collins - Boxelder,23829.8,0,184
08/13/2020,Fort Collins - Drake,18605.5,8,185
08/08/2020,South Adams County,,7,186
08/08/2020,South Fort Collins,,0,187
08/08/2020,SPR,,8,188
08/08/2020,Wellington Water and Sewer,,0,189
08/09/2020,Aurora,,20,190
08/09/2020,Boulder,,0,191
08/09/2020,Broomfield,,0,192
08/09/2020,CO Springs - JD Phillips,,0,193
08/09/2020,CO Springs - Las Vegas,,13,194
08/09/2020,Estes Park + Upper Thompson,,0,195
08/09/2020,Fort Collins - Boxelder,,0,196
08/09/2020,Fort Collins - Drake,,0,197
08/09/2020,Fort Collins - Mulberry,,0,198
08/09/2020,Greeley,,0,199
08/09/2020,Longmont,,0,200
08/09/2020,Louisville,,0,201
08/09/2020,Loveland,,0,202
08/09/2020,Metro Wastewater RWHTF - CC,,24,203
08/09/2020,Metro Wastewater RWHTF - PRC,,43,204
08/09/2020,Northglenn,,0,205
08/09/2020,Pueblo,,5,206
08/09/2020,Pueblo West,,0,207
08/09/2020,South Adams County,,6,208
08/09/2020,South Fort Collins,,0,209
08/09/2020,SPR,,8,210
08/09/2020,Wellington Water and Sewer,,0,211
08/10/2020,Aurora,18286.1,19,212
08/10/2020,Boulder,,0,213
08/10/2020,Broomfield,9069.9,0,214
08/10/2020,CO Springs - JD Phillips,19366.9,5,215
08/10/2020,CO Springs - Las Vegas,25339.9,20,216
08/10/2020,Estes Park + Upper Thompson,5572.5,0,217
08/10/2020,Fort Collins - Boxelder,2554.4,0,218
08/10/2020,Fort Collins - Drake,2755.9,0,219
08/10/2020,Fort Collins - Mulberry,23079.3,0,220
08/10/2020,Greeley,16073.5,5,221
08/10/2020,Longmont,,0,222
08/10/2020,Louisville,81151.8,0,223
08/10/2020,Loveland,,0,224
08/10/2020,Metro Wastewater RWHTF - CC,,24,225
08/10/2020,Metro Wastewater RWHTF - PRC,14862.1,48,226
08/10/2020,Northglenn,13357.1,0,227
08/10/2020,Pueblo,9202.8,0,228
08/10/2020,Pueblo West,,0,229
08/10/2020,South Adams County,5308.3,5,230
08/10/2020,South Fort Collins,2512,0,231
08/10/2020,SPR,2500.4,10,232
08/10/2020,Wellington Water and Sewer,,0,233
08/11/2020,Aurora,,19,234
08/11/2020,Boulder,,0,235
08/08/2020,CO Springs - JD Phillips,,0,236
08/08/2020,CO Springs - Las Vegas,,15,237
08/08/2020,Estes Park + Upper Thompson,,0,238
08/08/2020,Fort Collins - Boxelder,,0,239
08/08/2020,Fort Collins - Drake,,6,240
08/08/2020,Fort Collins - Mulberry,,0,241
08/08/2020,Greeley,,0,242
08/08/2020,Longmont,,0,243
08/08/2020,Louisville,,0,244
08/08/2020,Loveland,,0,245
08/08/2020,Metro Wastewater RWHTF - CC,,30,246
08/08/2020,Metro Wastewater RWHTF - PRC,,48,247
08/08/2020,Northglenn,,5,248
08/08/2020,Pueblo,,0,249
08/08/2020,Pueblo West,,0,250
08/15/2020,Metro Wastewater RWHTF - PRC,,36,251
08/15/2020,Northglenn,,0,252
08/15/2020,Pueblo,,5,253
08/15/2020,Pueblo West,,0,254
08/15/2020,South Adams County,,0,255
08/15/2020,South Fort Collins,,0,256
08/15/2020,SPR,,7,257
08/15/2020,Wellington Water and Sewer,,0,258
08/16/2020,Aurora,,13,259
08/16/2020,Boulder,,0,260
08/16/2020,Broomfield,,0,261
08/16/2020,CO Springs - JD Phillips,,5,262
08/16/2020,CO Springs - Las Vegas,,12,263
08/16/2020,Estes Park + Upper Thompson,,0,264
08/16/2020,Fort Collins - Boxelder,,0,265
08/16/2020,Fort Collins - Drake,,0,266
08/16/2020,Fort Collins - Mulberry,,0,267
08/16/2020,Greeley,,0,268
08/16/2020,Longmont,,0,269
08/16/2020,Louisville,,0,270
08/16/2020,Loveland,,0,271
08/16/2020,Metro Wastewater RWHTF - CC,,22,272
08/16/2020,Metro Wastewater RWHTF - PRC,,42,273
08/16/2020,Northglenn,8660.3,0,274
08/16/2020,Pueblo,,5,275
08/16/2020,Pueblo West,,0,276
08/16/2020,South Adams County,,0,277
08/16/2020,South Fort Collins,,0,278
08/16/2020,SPR,,6,279
08/16/2020,Wellington Water and Sewer,,0,280
08/17/2020,Aurora,29500.8,13,281
08/17/2020,Boulder,3501.7,0,282
08/17/2020,Broomfield,0,0,283
08/17/2020,CO Springs - JD Phillips,13380.4,7,284
08/17/2020,CO Springs - Las Vegas,12423.4,12,285
08/17/2020,Estes Park + Upper Thompson,3578.8,0,286
08/17/2020,Fort Collins - Boxelder,279516,0,287
08/17/2020,Fort Collins - Drake,13455.6,5,288
08/17/2020,Fort Collins - Mulberry,1453.6,0,289
08/17/2020,Greeley,20071.1,0,290
08/17/2020,Longmont,5119,0,291
08/17/2020,Louisville,0,0,292
08/17/2020,Loveland,,0,293
08/17/2020,Metro Wastewater RWHTF - CC,,24,294
08/17/2020,Metro Wastewater RWHTF - PRC,24940.5,40,295
08/17/2020,Northglenn,,0,296
08/17/2020,Pueblo,14604.2,5,297
08/17/2020,Pueblo West,,0,298
08/17/2020,South Adams County,4106.2,5,299
