Date,Utility,SARS_CoV_2_copies_L,Number_of_New_COVID19_Cases_by_,ObjectId
08/06/2020,Loveland,,0,1
08/04/2020,Fort Collins - Boxelder,,0,2
08/11/2020,Broomfield,,0,3
08/06/2020,Metro Wastewater RWHTF - CC,17308.9,40,4
08/04/2020,Fort Collins - Drake,,7,5
08/11/2020,CO Springs - JD Phillips,,6,6
08/11/2020,CO Springs - Las Vegas,,22,7
08/04/2020,Fort Collins - Mulberry,,5,8
08/06/2020,Metro Wastewater RWHTF - PRC,7078.3,53,9
08/02/2020,Aurora,,10,10
08/06/2020,Northglenn,,7,11
08/04/2020,Greeley,,0,12
08/11/2020,Estes Park + Upper Thompson,,0,13
08/11/2020,Fort Collins - Boxelder,,0,14
08/06/2020,Pueblo,17677.7,6,15
08/04/2020,Longmont,,0,16
08/02/2020,Boulder,,0,17
08/02/2020,Broomfield,12868.8,0,18
08/06/2020,Pueblo West,,0,19
08/04/2020,Louisville,,0,20
08/11/2020,Fort Collins - Drake,,7,21
08/11/2020,Fort Collins - Mulberry,,0,22
08/04/2020,Loveland,,0,23
08/06/2020,South Adams County,0,7,24
08/02/2020,CO Springs - JD Phillips,24177.4,5,25
08/02/2020,CO Springs - Las Vegas,50393.5,15,26
08/06/2020,South Fort Collins,19275.9,0,27
08/04/2020,Metro Wastewater RWHTF - CC,,32,28
08/11/2020,Greeley,,6,29
08/11/2020,Longmont,,0,30
08/06/2020,SPR,15333.7,11,31
08/04/2020,Metro Wastewater RWHTF - PRC,,51,32
08/02/2020,Estes Park + Upper Thompson,4811.4,0,33
08/02/2020,Fort Collins - Boxelder,71341.9,0,34
08/04/2020,Northglenn,,0,35
08/06/2020,Wellington Water and Sewer,,0,36
08/11/2020,Louisville,,0,37
08/08/2020,South Adams County,,7,38
08/11/2020,Loveland,,0,39
08/15/2020,Metro Wastewater RWHTF - PRC,,36,40
08/07/2020,Aurora,,30,41
08/17/2020,SPR,31424.9,6,42
08/04/2020,Pueblo,,5,43
08/02/2020,Fort Collins - Drake,1322.7,0,44
08/17/2020,Wellington Water and Sewer,,0,45
08/04/2020,Pueblo West,,0,46
08/15/2020,Northglenn,,0,47
08/07/2020,Boulder,,0,48
08/11/2020,Metro Wastewater RWHTF - CC,,33,49
08/08/2020,South Fort Collins,,0,50
08/02/2020,Fort Collins - Mulberry,0,0,51
08/11/2020,Metro Wastewater RWHTF - PRC,,49,52
08/04/2020,South Adams County,,6,53
08/07/2020,Broomfield,,0,54
08/15/2020,Pueblo,,5,55
08/18/2020,Aurora,,18,56
08/08/2020,SPR,,8,57
08/02/2020,Greeley,3512.1,0,58
08/04/2020,South Fort Collins,,0,59
08/15/2020,Pueblo West,,0,60
08/07/2020,CO Springs - JD Phillips,,5,61
08/11/2020,Northglenn,,0,62
08/08/2020,Wellington Water and Sewer,,0,63
08/18/2020,Boulder,,5,64
08/07/2020,CO Springs - Las Vegas,,18,65
08/15/2020,South Adams County,,0,66
08/02/2020,Longmont,,0,67
08/04/2020,SPR,,14,68
08/11/2020,Pueblo,,5,69
08/18/2020,Broomfield,,0,70
08/09/2020,Aurora,,20,71
08/02/2020,Louisville,1256.1,0,72
08/04/2020,Wellington Water and Sewer,,0,73
08/15/2020,South Fort Collins,,0,74
08/07/2020,Estes Park + Upper Thompson,,0,75
08/18/2020,CO Springs - JD Phillips,,9,76
08/11/2020,Pueblo West,,0,77
08/15/2020,SPR,,7,78
08/02/2020,Loveland,,0,79
08/09/2020,Boulder,,0,80
08/05/2020,Aurora,,24,81
08/07/2020,Fort Collins - Boxelder,,0,82
08/18/2020,CO Springs - Las Vegas,,18,83
08/11/2020,South Adams County,,6,84
08/09/2020,Broomfield,,0,85
08/15/2020,Wellington Water and Sewer,,0,86
08/02/2020,Metro Wastewater RWHTF - CC,14555.4,13,87
08/11/2020,South Fort Collins,,0,88
08/07/2020,Fort Collins - Drake,,8,89
08/05/2020,Boulder,,0,90
08/18/2020,Estes Park + Upper Thompson,,0,91
08/09/2020,CO Springs - JD Phillips,,0,92
