Name,Desc_,Date,Cases,Tested,Test_Encounters,Deaths,DthCOVID19,Population,Rate,Hosp,Counties,Outbreaks,ObjectId
Colorado,State Data,06/27/2020,32022,310883,,1674,1482,5694287,562.35,5399,61,350,1
Colorado,State Data,06/28/2020,32307,316734,,1676,1482,5694287,567.36,5401,61,350,2
Colorado,State Data,06/29/2020,32511,320997,,1682,1508,5694287,570.94,5442,61,353,3
Colorado,State Data,06/30/2020,32715,324632,,1690,1520,5694287,574.52,5489,61,353,4
Colorado,State Data,07/01/2020,33029,330359,,1697,1520,5694287,580.04,5513,61,362,5
Colorado,State Data,07/02/2020,33352,337391,,1701,1521,5694287,585.71,5527,61,362,6
Colorado,State Data,07/03/2020,33619,342857,,1701,1521,5694287,590.4,5537,61,364,7
Colorado,State Data,07/04/2020,33866,347821,,1701,1521,5694287,594.74,5550,61,366,8
Colorado,State Data,07/05/2020,34065,352758,,1701,1521,5694287,598.23,5565,61,366,9
Colorado,State Data,07/06/2020,34257,357751,,1691,1542,5694287,601.6,5591,61,367,10
Colorado,State Data,07/07/2020,34664,362145,,1696,1542,5694287,608.75,5741,61,371,11
Colorado,State Data,07/08/2020,35116,367724,,1704,1544,5694287,616.69,5820,61,384,12
Colorado,State Data,07/09/2020,35525,374161,,1706,1581,5694287,623.87,5831,61,387,13
Colorado,State Data,07/10/2020,36191,382859,,1724,1586,5694287,635.57,5864,61,391,14
Colorado,State Data,07/11/2020,36591,389099,,1725,1586,5694287,642.59,5885,61,398,15
Colorado,State Data,07/12/2020,36913,396363,,1725,1586,5694287,648.25,5895,61,398,16
Colorado,State Data,07/13/2020,37242,401942,,1727,1589,5694287,654.02,5941,61,401,17
Colorado,State Data,07/14/2020,37686,406967,,1738,1594,5694287,661.82,5963,62,403,18
Colorado,State Data,07/15/2020,38155,413187,,1744,1601,5694287,670.06,5950,62,414,19
Colorado,State Data,07/16/2020,38726,421313,,1745,1615,5694287,680.09,5966,62,420,20
Colorado,State Data,07/17/2020,39344,427699,,1751,1615,5694287,690.94,5994,63,424,21
Colorado,State Data,07/18/2020,39788,432848,,1752,1615,5694287,698.74,6019,63,427,22
Colorado,State Data,07/19/2020,40142,439068,,1752,1615,5694287,704.95,6032,63,427,23
Colorado,State Data,07/20/2020,40566,448204,,1758,1615,5694287,712.4,6057,63,428,24
Colorado,State Data,07/21/2020,41059,454290,,1763,1643,5694287,721.06,6110,63,435,25
Colorado,State Data,07/22/2020,41698,462275,,1771,1643,5694287,732.28,6133,63,446,26
Colorado,State Data,07/23/2020,42314,467726,594731,1786,1645,5694287,734.78,6149,63,452,27
Colorado,State Data,07/24/2020,42980,476586,608070,1790,1661,5694287,746.34,6227,63,455,28
Colorado,State Data,07/25/2020,43789,487235,624351,1794,1661,5694287,760.39,6261,63,457,29
Colorado,State Data,07/26/2020,44336,494626,635575,1794,1661,5694287,769.89,6268,63,457,30
Colorado,State Data,07/27/2020,44565,497265,638968,1799,1668,5694287,773.87,6271,63,457,31
Colorado,State Data,07/28/2020,45314,509012,656305,1807,1679,5694287,795.78,6319,63,463,32
Colorado,State Data,07/29/2020,45796,516502,668245,1822,1688,5694287,804.6,6398,63,473,33
Colorado,State Data,07/30/2020,46204,523174,678823,1822,1691,5694287,811.41,6413,63,477,34
Colorado,State Data,07/31/2020,46809,530220,691365,1838,1691,5694287,822.03,6441,63,479,35
Colorado,State Data,08/01/2020,47267,537382,703954,1844,1691,5694287,830.08,6465,63,481,36
Colorado,State Data,08/02/2020,47716,544023,714560,1844,1691,5694287,837.96,6474,63,481,37
Colorado,State Data,08/03/2020,47968,548808,721921,1844,1710,5694287,842.39,6487,63,483,38
Colorado,State Data,08/04/2020,48394,552205,727026,1849,1710,5694287,849.87,6516,63,488,39
Colorado,State Data,08/05/2020,48988,562086,754644,1851,1717,5694287,860.3,6536,63,502,40
Colorado,State Data,08/06/2020,49436,568127,766473,1852,1729,5694287,868.17,6572,63,509,41
Colorado,State Data,08/07/2020,49893,575894,779670,1857,1736,5694287,876.19,6582,63,514,42
Colorado,State Data,08/08/2020,50324,582639,791022,1857,1736,5694287,883.76,6602,63,513,43
Colorado,State Data,08/09/2020,50660,588547,801739,1858,1736,5694287,889.66,6616,63,513,44
Colorado,State Data,08/10/2020,51039,593794,810276,1863,1746,5694287,896.32,6627,63,514,45
Colorado,State Data,08/11/2020,51441,597867,817422,1875,1751,5694287,903.38,6679,63,519,46
Note,Data is updated daily by about 4 p.m. and includes cases reported through the previous day.,,,,,,,,,,,,47
Note,The number of cases includes people who have had a test that indicated they were positive for COVID-19. The number of cases also includes epidemiologically-linked cases -- or cases where public health epidemiologists have determined that infection is highly likely because a person exhibited symptoms and had close contact with someone who tested positive. The number of epidemiologically-linked cases represents a very small portion of the reported cases.,,,,,,,,,,,,48
Note,Total people tested may not include all negative results. Testing data excludes serology and only counts PCR.,,,,,,,,,,,,49
Note,A person is counted once in the number of People Tested. A person is counted once each day they are tested in the number of Test Encounters.,,,,,,,,,,,,50
Colorado,State Data,03/17/2020,183,1790,,2,,5694287,3.21,20,19,,51
Note,Deaths due to COVID-19: https://www.cdc.gov/nchs/nvss/vsrr/covid19/index.htm (Table 2),,,,,,,,,,,,52
Colorado,State Data,03/18/2020,216,2328,,2,,5694287,3.79,26,20,,53
Colorado,State Data,03/19/2020,277,2952,,2,,5694287,4.86,42,22,,54
Colorado,State Data,03/20/2020,363,3680,,4,,5694287,6.37,44,24,,55
Colorado,State Data,03/21/2020,475,4550,,5,,5694287,8.34,49,29,,56
Colorado,State Data,03/22/2020,591,5436,,6,,5694287,10.38,58,29,5,57
Colorado,State Data,03/23/2020,720,6224,,7,,5694287,12.64,72,31,5,58
Colorado,State Data,03/24/2020,912,7701,,11,,5694287,16.02,84,35,7,59
Colorado,State Data,03/25/2020,1086,8064,,19,,5694287,19.07,148,36,9,60
Colorado,State Data,03/26/2020,1430,10122,,24,,5694287,25.11,184,39,9,61
Colorado,State Data,03/27/2020,1734,11676,,31,,5694287,30.45,239,42,9,62
Colorado,State Data,03/28/2020,2061,13276,,44,,5694287,36.19,274,44,10,63
Colorado,State Data,03/29/2020,2307,14470,,47,,5694287,40.51,326,46,10,64
Colorado,State Data,03/30/2020,2627,15364,,51,,5694287,46.13,414,47,14,65
Colorado,State Data,03/31/2020,2966,16849,,69,,5694287,52.09,509,50,16,66
Colorado,State Data,04/01/2020,3342,18645,,80,,5694287,58.69,620,50,17,67
Colorado,State Data,04/02/2020,3728,20411,,97,,5694287,65.47,710,51,21,68
Colorado,State Data,04/03/2020,4173,22071,,111,,5694287,73.28,823,53,27,69
Colorado,State Data,04/04/2020,4565,23900,,126,,5694287,80.17,875,54,30,70
Colorado,State Data,04/05/2020,4950,25773,,140,,5694287,86.93,924,54,37,71
Colorado,State Data,04/06/2020,5172,26875,,150,,5694287,90.83,994,54,41,72
Colorado,State Data,04/07/2020,5429,28094,,179,,5694287,95.34,1079,54,44,73
Colorado,State Data,04/08/2020,5655,29199,,193,,5694287,99.31,1162,54,48,74
Colorado,State Data,04/09/2020,6202,31180,,226,,5694287,108.92,1221,56,54,75
Colorado,State Data,04/10/2020,6510,32653,,250,,5694287,114.33,1312,56,59,76
Colorado,State Data,04/11/2020,6893,34873,,274,,5694287,121.05,1376,56,67,77
Colorado,State Data,04/12/2020,7303,37153,,290,,5694287,128.25,1417,56,68,78
Colorado,State Data,04/13/2020,7691,38742,,308,,5694287,135.07,1493,56,72,79
Colorado,State Data,04/14/2020,7941,39580,,329,,5694287,139.46,1556,56,78,80
Colorado,State Data,04/15/2020,8280,40533,,357,,5694287,145.41,1636,56,83,81
Colorado,State Data,04/16/2020,8675,41830,,374,,5694287,152.35,1693,56,93,82
Colorado,State Data,04/17/2020,9047,43307,,391,,5694287,158.88,1755,57,100,83
Colorado,State Data,04/18/2020,9433,44606,,411,,5694287,165.66,1797,56,107,84
Colorado,State Data,04/19/2020,9730,46195,,422,,5694287,170.87,1813,56,111,85
Colorado,State Data,04/20/2020,10106,47466,,449,,5694287,177.48,1880,56,113,86
Colorado,State Data,04/21/2020,10447,48704,,486,,5694287,183.46,2003,56,119,87
Colorado,State Data,04/22/2020,10878,50645,,508,,5694287,191.03,2123,56,123,88
Colorado,State Data,04/23/2020,11262,52324,,552,,5694287,197.78,2237,56,130,89
Colorado,State Data,04/24/2020,12255,56789,,674,,5694287,215.22,2366,56,134,90
Colorado,State Data,04/25/2020,12968,59791,,672,,5694287,227.74,2410,57,141,91
Colorado,State Data,04/26/2020,13441,63274,,680,,5694287,236.04,2438,57,143,92
Colorado,State Data,04/27/2020,13879,66341,,706,,5694287,243.74,2485,56,144,93
Colorado,State Data,04/28/2020,14316,67094,,736,,5694287,251.41,2571,56,149,94
Colorado,State Data,04/29/2020,14758,69449,,766,,5694287,259.17,2621,56,157,95
Colorado,State Data,04/30/2020,15284,72390,,777,,5694287,268.37,2697,56,159,96
Colorado,State Data,05/01/2020,15768,75259,,820,,5694287,276.91,2747,56,161,97
Colorado,State Data,05/02/2020,16225,78179,,832,,5694287,284.93,2793,56,163,98
Colorado,State Data,05/03/2020,16635,81352,,842,,5694287,292.13,2799,56,163,99
Colorado,State Data,05/04/2020,16907,83266,,851,,5694287,296.91,2838,56,163,100
Colorado,State Data,05/05/2020,17364,85976,,903,,5694287,304.94,2919,56,170,101
Colorado,State Data,05/06/2020,17830,89529,,921,,5694287,313.12,2986,57,174,102
Colorado,State Data,05/07/2020,18371,92267,,944,,5694287,322.62,3557,59,178,103
Colorado,State Data,05/08/2020,18827,96772,,960,,5694287,330.63,3600,59,184,104
Colorado,State Data,05/09/2020,19375,100610,,967,,5694287,340.25,3623,59,188,105
Colorado,State Data,05/10/2020,19703,104077,,971,,5694287,346.01,3631,60,190,106
Colorado,State Data,05/11/2020,19879,106761,,987,,5694287,349.1,3663,60,192,107
Colorado,State Data,05/12/2020,20157,109304,,1009,,5694287,353.99,3695,60,199,108
Colorado,State Data,05/13/2020,20475,112505,,1062,,5694287,359.57,3735,60,206,109
Colorado,State Data,05/14/2020,20838,115996,,1091,,5694287,365.95,3789,60,208,110
Colorado,State Data,05/15/2020,21232,119759,,1150,878,5694287,372.86,3842,60,213,111
Colorado,State Data,05/16/2020,21633,123422,,1192,878,5694287,379.91,3866,60,222,112
Colorado,State Data,05/17/2020,21938,126330,,1215,878,5694287,385.26,3872,60,223,113
Colorado,State Data,05/18/2020,22202,129159,,1224,921,5694287,389.9,3899,60,228,114
Colorado,State Data,05/19/2020,22482,131837,,1257,968,5694287,394.82,3955,60,240,115
Colorado,State Data,05/20/2020,22797,135611,,1299,1001,5694287,400.35,3990,60,249,116
Colorado,State Data,05/21/2020,23191,139937,,1310,1062,5694287,407.27,4037,60,256,117
Colorado,State Data,05/22/2020,23487,142667,,1324,1088,5694287,412.47,4082,60,260,118
Colorado,State Data,05/23/2020,23964,147744,,1327,1088,5694287,420.84,4105,60,263,119
Colorado,State Data,05/24/2020,24174,150308,,1332,1088,5694287,424.53,4119,60,264,120
Colorado,State Data,05/25/2020,24269,153683,,1333,1088,5694287,426.2,4128,60,266,121
Colorado,State Data,05/26/2020,24565,157036,,1352,1114,5694287,431.4,4160,60,267,122
Colorado,State Data,05/27/2020,24767,160796,,1392,1135,5694287,434.94,4196,60,271,123
Colorado,State Data,05/28/2020,25121,166596,,1421,1168,5694287,441.16,4254,60,272,124
Colorado,State Data,05/29/2020,25613,173300,,1436,1181,5694287,449.8,4307,60,277,125
Colorado,State Data,05/30/2020,26098,178196,,1443,1181,5694287,458.32,4333,60,280,126
Colorado,State Data,05/31/2020,26378,183947,,1445,1181,5694287,463.24,4347,60,281,127
Colorado,State Data,06/01/2020,26577,188069,,1458,1185,5694287,466.73,4372,60,282,128
Colorado,State Data,06/02/2020,26788,190700,,1474,1228,5694287,470.44,4419,60,284,129
Colorado,State Data,06/03/2020,27060,194697,,1494,1254,5694287,475.21,4443,60,292,130
Colorado,State Data,06/04/2020,27360,200912,,1512,1255,5694287,480.48,4460,60,294,131
Colorado,State Data,06/05/2020,27615,205761,,1524,1274,5694287,484.96,4472,60,296,132
Colorado,State Data,06/06/2020,27848,210485,,1527,1274,5694287,489.05,4480,60,299,133
Colorado,State Data,06/07/2020,28001,214940,,1527,1274,5694287,491.74,4485,60,299,134
Colorado,State Data,06/08/2020,28183,219331,,1543,1292,5694287,494.93,4859,60,299,135
Colorado,State Data,06/09/2020,28347,223534,,1553,1312,5694287,497.81,5025,60,301,136
Colorado,State Data,06/10/2020,28499,227761,,1573,1328,5694287,500.48,5035,60,306,137
Colorado,State Data,06/11/2020,28647,231763,,1583,1339,5694287,503.08,5057,60,308,138
Colorado,State Data,06/12/2020,28822,236461,,1595,1348,5694287,506.16,5234,60,308,139
Colorado,State Data,06/13/2020,29017,242034,,1598,1348,5694287,509.58,5244,60,309,140
Colorado,State Data,06/14/2020,29130,246478,,1599,1348,5694287,511.57,5244,60,312,141
Colorado,State Data,06/15/2020,29299,250523,,1605,1373,5694287,514.53,5269,60,314,142
Colorado,State Data,06/16/2020,29442,254020,,1617,1373,5694287,517.04,5272,60,318,143
Colorado,State Data,06/17/2020,29673,259546,,1631,1402,5694287,521.1,5294,60,323,144
Colorado,State Data,06/18/2020,29901,264466,,1638,1417,5694287,525.11,5308,60,324,145
Colorado,State Data,06/19/2020,30187,270335,,1643,1429,5694287,530.13,5318,60,327,146
Colorado,State Data,06/20/2020,30349,275645,,1647,1429,5694287,532.97,5323,60,327,147
Colorado,State Data,06/21/2020,30539,280033,,1647,1429,5694287,536.31,5327,60,330,148
Colorado,State Data,06/22/2020,30705,285130,,1651,1438,5694287,539.22,5343,60,330,149
Colorado,State Data,06/23/2020,30893,288079,,1665,1455,5694287,542.53,5366,60,333,150
Colorado,State Data,06/24/2020,31155,293284,,1667,1457,5694287,547.13,5375,60,337,151
Colorado,State Data,06/25/2020,31479,299772,,1669,1475,5694287,552.82,5386,61,338,152
Colorado,State Data,06/26/2020,31796,304759,,1673,1482,5694287,558.38,5392,61,349,153
