OBJECTID,FULL_,GEOID,LABEL,STAETFP,COUNTY,COUNTYFP,County_Pos_Cases,County_Population,County_Rate_Per_100_000,County_Pos_Cases_Yesterday,County_Pos_Cases_Change,County_Deaths,County_Deaths_Yesterday,County_Deaths_Change,State_Pos_Cases,State_Population,State_Rate_Per_100000,State_Deaths,State_CDC_Deaths,State_Number_Hospitalizations,State_Number_Tested,State_Test_Encounters,State_Number_of_Counties_Pos,State_Number_of_Outbreaks,Data_Source,Date_Data_Last_Updated,Shape__Area,Shape__Length
1,Saguache County,08109,Saguache,08,SAGUACHE,109,128,6824,1875.73,124,4,2,2,0,90222,5763976,1565.27,2198,2070,8478,1113799,1764648,64,1028,Colorado Department of Public Health and Environment,"Data through October 21, 2020",0.84314903059385,4.39184364534676
2,Sedgwick County,08115,Sedgwick,08,SEDGWICK,115,38,2229,1704.8,34,4,1,1,0,90222,5763976,1565.27,2198,2070,8478,1113799,1764648,64,1028,Colorado Department of Public Health and Environment,"Data through October 21, 2020",0.152011070952994,1.7075458304623
3,Cheyenne County,08017,Cheyenne,08,CHEYENNE,017,14,1825,767.12,14,0,,,,90222,5763976,1565.27,2198,2070,8478,1113799,1764648,64,1028,Colorado Department of Public Health and Environment,"Data through October 21, 2020",0.478627830943196,3.11127071445578
4,Custer County,08027,Custer,08,CUSTER,027,19,5059,375.57,19,0,,,,90222,5763976,1565.27,2198,2070,8478,1113799,1764648,64,1028,Colorado Department of Public Health and Environment,"Data through October 21, 2020",0.196859248573446,2.36450252969444
5,La Plata County,08067,La Plata,08,LA PLATA,067,331,56272,588.21,331,0,2,2,0,90222,5763976,1565.27,2198,2070,8478,1113799,1764648,64,1028,Colorado Department of Public Health and Environment,"Data through October 21, 2020",0.447277846552652,3.02281991599123
6,San Juan County,08111,San Juan,08,SAN JUAN,111,7,726,964.19,7,0,,,,90222,5763976,1565.27,2198,2070,8478,1113799,1764648,64,1028,Colorado Department of Public Health and Environment,"Data through October 21, 2020",0.102833675325428,1.71664098503411
7,Pitkin County,08097,Pitkin,08,PITKIN,097,271,17756,1526.24,261,10,2,2,0,90222,5763976,1565.27,2198,2070,8478,1113799,1764648,64,1028,Colorado Department of Public Health and Environment,"Data through October 21, 2020",0.262895469540581,2.99758337931076
8,Park County,08093,Park,08,PARK,093,88,18844,466.99,85,3,1,1,0,90222,5763976,1565.27,2198,2070,8478,1113799,1764648,64,1028,Colorado Department of Public Health and Environment,"Data through October 21, 2020",0.596376486070085,3.79219717353281
9,Alamosa County,08003,Alamosa,08,ALAMOSA,003,292,16181,1804.59,292,0,9,9,0,90222,5763976,1565.27,2198,2070,8478,1113799,1764648,64,1028,Colorado Department of Public Health and Environment,"Data through October 21, 2020",0.19106400063788,1.83562564586585
10,Prowers County,08099,Prowers,08,PROWERS,099,138,12122,1138.43,137,1,,,,90222,5763976,1565.27,2198,2070,8478,1113799,1764648,64,1028,Colorado Department of Public Health and Environment,"Data through October 21, 2020",0.436578121041293,2.65950781753648
11,Moffat County,08081,Moffat,08,MOFFAT,081,56,13252,422.58,56,0,1,1,0,90222,5763976,1565.27,2198,2070,8478,1113799,1764648,64,1028,Colorado Department of Public Health and Environment,"Data through October 21, 2020",1.30950090392707,5.03264724477475
12,Jefferson County,08059,Jefferson,08,JEFFERSON,059,7599,583081,1303.25,7492,107,301,301,0,90222,5763976,1565.27,2198,2070,8478,1113799,1764648,64,1028,Colorado Department of Public Health and Environment,"Data through October 21, 2020",0.210187679847877,2.86344185299337
13,Summit County,08117,Summit,08,SUMMIT,117,620,30983,2001.1,604,16,4,4,0,90222,5763976,1565.27,2198,2070,8478,1113799,1764648,64,1028,Colorado Department of Public Health and Environment,"Data through October 21, 2020",0.168272135535972,2.59953699733241
14,Pueblo County,08101,Pueblo,08,PUEBLO,101,1725,168110,1026.11,1697,28,40,40,0,90222,5763976,1565.27,2198,2070,8478,1113799,1764648,64,1028,Colorado Department of Public Health and Environment,"Data through October 21, 2020",0.638492791357976,3.43119645764386
15,Boulder County,08013,Boulder,08,BOULDER,013,5198,327164,1588.81,5141,57,84,84,0,90222,5763976,1565.27,2198,2070,8478,1113799,1764648,64,1028,Colorado Department of Public Health and Environment,"Data through October 21, 2020",0.202534731038213,2.38337519766668
16,Denver County,08031,Denver,08,DENVER,031,16592,729239,2275.25,16386,206,444,444,0,90222,5763976,1565.27,2198,2070,8478,1113799,1764648,64,1028,Colorado Department of Public Health and Environment,"Data through October 21, 2020",0.0421858562244779,2.74534829005677
17,Montrose County,08085,Montrose,08,MONTROSE,085,431,42765,1007.83,428,3,13,13,0,90222,5763976,1565.27,2198,2070,8478,1113799,1764648,64,1028,Colorado Department of Public Health and Environment,"Data through October 21, 2020",0.599092173290956,4.59010271530844
18,Eagle County,08037,Eagle,08,EAGLE,037,1379,55070,2504.09,1366,13,10,10,0,90222,5763976,1565.27,2198,2070,8478,1113799,1764648,64,1028,Colorado Department of Public Health and Environment,"Data through October 21, 2020",0.459671486366005,3.15805055528872
19,San Miguel County,08113,San Miguel,08,SAN MIGUEL,113,100,8174,1223.39,100,0,,,,90222,5763976,1565.27,2198,2070,8478,1113799,1764648,64,1028,Colorado Department of Public Health and Environment,"Data through October 21, 2020",0.34238906379619,3.44955895760726
20,Costilla County,08023,Costilla,08,COSTILLA,023,35,3872,903.93,35,0,1,1,0,90222,5763976,1565.27,2198,2070,8478,1113799,1764648,64,1028,Colorado Department of Public Health and Environment,"Data through October 21, 2020",0.323925261744535,2.63276788664489
21,Broomfield County,08014,Broomfield,08,BROOMFIELD,014,862,70762,1218.17,846,16,41,41,0,90222,5763976,1565.27,2198,2070,8478,1113799,1764648,64,1028,Colorado Department of Public Health and Environment,"Data through October 21, 2020",0.00915797640027449,1.17463684380326
22,Chaffee County,08015,Chaffee,08,CHAFFEE,015,375,20361,1841.76,374,1,20,20,0,90222,5763976,1565.27,2198,2070,8478,1113799,1764648,64,1028,Colorado Department of Public Health and Environment,"Data through October 21, 2020",0.272389218158423,3.12582249110702
