OBJECTID,FULL_,GEOID,LABEL,STAETFP,COUNTY,COUNTYFP,County_Pos_Cases,County_Population,County_Rate_Per_100_000,County_Pos_Cases_Yesterday,County_Pos_Cases_Change,County_Deaths,County_Deaths_Yesterday,County_Deaths_Change,State_Pos_Cases,State_Population,State_Rate_Per_100000,State_Deaths,State_CDC_Deaths,State_Number_Hospitalizations,State_Number_Tested,State_Test_Encounters,State_Number_of_Counties_Pos,State_Number_of_Outbreaks,Data_Source,Date_Data_Last_Updated,Shape__Area,Shape__Length
1,Saguache County,08109,Saguache,08,SAGUACHE,109,349,6824,5114.3,348,1,4,4,0,487578,5763976,8459.06,6186,6330,26703,2826461,7436448,64,4609,Colorado Department of Public Health and Environment,"Data through April 15, 2021",0.84314903059385,4.39184364534676
2,Sedgwick County,08115,Sedgwick,08,SEDGWICK,115,207,2229,9286.68,207,0,2,2,0,487578,5763976,8459.06,6186,6330,26703,2826461,7436448,64,4609,Colorado Department of Public Health and Environment,"Data through April 15, 2021",0.152011070952994,1.7075458304623
3,Cheyenne County,08017,Cheyenne,08,CHEYENNE,017,127,1825,6958.9,127,0,6,6,0,487578,5763976,8459.06,6186,6330,26703,2826461,7436448,64,4609,Colorado Department of Public Health and Environment,"Data through April 15, 2021",0.478627830943196,3.11127071445578
4,Custer County,08027,Custer,08,CUSTER,027,177,5059,3498.72,177,0,1,1,0,487578,5763976,8459.06,6186,6330,26703,2826461,7436448,64,4609,Colorado Department of Public Health and Environment,"Data through April 15, 2021",0.196859248573446,2.36450252969444
5,La Plata County,08067,La Plata,08,LA PLATA,067,3621,56272,6434.82,3601,20,38,38,0,487578,5763976,8459.06,6186,6330,26703,2826461,7436448,64,4609,Colorado Department of Public Health and Environment,"Data through April 15, 2021",0.447277846552652,3.02281991599123
6,San Juan County,08111,San Juan,08,SAN JUAN,111,46,726,6336.09,46,0,,,,487578,5763976,8459.06,6186,6330,26703,2826461,7436448,64,4609,Colorado Department of Public Health and Environment,"Data through April 15, 2021",0.102833675325428,1.71664098503411
7,Pitkin County,08097,Pitkin,08,PITKIN,097,2557,17756,14400.77,2551,6,4,4,0,487578,5763976,8459.06,6186,6330,26703,2826461,7436448,64,4609,Colorado Department of Public Health and Environment,"Data through April 15, 2021",0.262895469540581,2.99758337931076
8,Park County,08093,Park,08,PARK,093,661,18844,3507.75,656,5,5,5,0,487578,5763976,8459.06,6186,6330,26703,2826461,7436448,64,4609,Colorado Department of Public Health and Environment,"Data through April 15, 2021",0.596376486070085,3.79219717353281
9,Alamosa County,08003,Alamosa,08,ALAMOSA,003,1404,16181,8676.84,1397,7,30,30,0,487578,5763976,8459.06,6186,6330,26703,2826461,7436448,64,4609,Colorado Department of Public Health and Environment,"Data through April 15, 2021",0.19106400063788,1.83562564586585
10,Prowers County,08099,Prowers,08,PROWERS,099,1184,12122,9767.37,1181,3,21,21,0,487578,5763976,8459.06,6186,6330,26703,2826461,7436448,64,4609,Colorado Department of Public Health and Environment,"Data through April 15, 2021",0.436578121041293,2.65950781753648
11,Moffat County,08081,Moffat,08,MOFFAT,081,723,13252,5455.78,722,1,22,22,0,487578,5763976,8459.06,6186,6330,26703,2826461,7436448,64,4609,Colorado Department of Public Health and Environment,"Data through April 15, 2021",1.30950090392707,5.03264724477475
12,Jefferson County,08059,Jefferson,08,JEFFERSON,059,42738,583081,7329.68,42496,242,739,738,1,487578,5763976,8459.06,6186,6330,26703,2826461,7436448,64,4609,Colorado Department of Public Health and Environment,"Data through April 15, 2021",0.210187679847877,2.86344185299337
13,Summit County,08117,Summit,08,SUMMIT,117,3614,30983,11664.46,3601,13,7,7,0,487578,5763976,8459.06,6186,6330,26703,2826461,7436448,64,4609,Colorado Department of Public Health and Environment,"Data through April 15, 2021",0.168272135535972,2.59953699733241
