OBJECTID,FULL_,GEOID,LABEL,STAETFP,COUNTY,COUNTYFP,County_Pos_Cases,County_Population,County_Rate_Per_100_000,County_Pos_Cases_Yesterday,County_Pos_Cases_Change,County_Deaths,County_Deaths_Yesterday,County_Deaths_Change,State_Pos_Cases,State_Population,State_Rate_Per_100000,State_Deaths,State_CDC_Deaths,State_Number_Hospitalizations,State_Number_Tested,State_Test_Encounters,State_Number_of_Counties_Pos,State_Number_of_Outbreaks,Data_Source,Date_Data_Last_Updated,Shape__Area,Shape__Length
1,Saguache County,08109,Saguache,08,SAGUACHE,109,123,6824,1802.46,119,4,2,2,0,87582,5763976,1519.47,2182,2060,8332,1095721,1724038,64,971,Colorado Department of Public Health and Environment,"Data through October 19, 2020",0.84314903059385,4.39184364534676
2,Sedgwick County,08115,Sedgwick,08,SEDGWICK,115,33,2229,1480.48,26,7,1,1,0,87582,5763976,1519.47,2182,2060,8332,1095721,1724038,64,971,Colorado Department of Public Health and Environment,"Data through October 19, 2020",0.152011070952994,1.7075458304623
3,Cheyenne County,08017,Cheyenne,08,CHEYENNE,017,14,1825,767.12,14,0,,,,87582,5763976,1519.47,2182,2060,8332,1095721,1724038,64,971,Colorado Department of Public Health and Environment,"Data through October 19, 2020",0.478627830943196,3.11127071445578
4,Custer County,08027,Custer,08,CUSTER,027,19,5059,375.57,19,0,,,,87582,5763976,1519.47,2182,2060,8332,1095721,1724038,64,971,Colorado Department of Public Health and Environment,"Data through October 19, 2020",0.196859248573446,2.36450252969444
5,La Plata County,08067,La Plata,08,LA PLATA,067,330,56272,586.44,325,5,2,2,0,87582,5763976,1519.47,2182,2060,8332,1095721,1724038,64,971,Colorado Department of Public Health and Environment,"Data through October 19, 2020",0.447277846552652,3.02281991599123
6,San Juan County,08111,San Juan,08,SAN JUAN,111,7,726,964.19,6,1,,,,87582,5763976,1519.47,2182,2060,8332,1095721,1724038,64,971,Colorado Department of Public Health and Environment,"Data through October 19, 2020",0.102833675325428,1.71664098503411
7,Pitkin County,08097,Pitkin,08,PITKIN,097,259,17756,1458.66,256,3,2,2,0,87582,5763976,1519.47,2182,2060,8332,1095721,1724038,64,971,Colorado Department of Public Health and Environment,"Data through October 19, 2020",0.262895469540581,2.99758337931076
8,Park County,08093,Park,08,PARK,093,82,18844,435.15,81,1,1,1,0,87582,5763976,1519.47,2182,2060,8332,1095721,1724038,64,971,Colorado Department of Public Health and Environment,"Data through October 19, 2020",0.596376486070085,3.79219717353281
9,Alamosa County,08003,Alamosa,08,ALAMOSA,003,288,16181,1779.87,285,3,9,9,0,87582,5763976,1519.47,2182,2060,8332,1095721,1724038,64,971,Colorado Department of Public Health and Environment,"Data through October 19, 2020",0.19106400063788,1.83562564586585
10,Prowers County,08099,Prowers,08,PROWERS,099,122,12122,1006.43,120,2,,,,87582,5763976,1519.47,2182,2060,8332,1095721,1724038,64,971,Colorado Department of Public Health and Environment,"Data through October 19, 2020",0.436578121041293,2.65950781753648
11,Moffat County,08081,Moffat,08,MOFFAT,081,55,13252,415.03,53,2,1,1,0,87582,5763976,1519.47,2182,2060,8332,1095721,1724038,64,971,Colorado Department of Public Health and Environment,"Data through October 19, 2020",1.30950090392707,5.03264724477475
12,Jefferson County,08059,Jefferson,08,JEFFERSON,059,7404,583081,1269.81,7252,152,299,299,0,87582,5763976,1519.47,2182,2060,8332,1095721,1724038,64,971,Colorado Department of Public Health and Environment,"Data through October 19, 2020",0.210187679847877,2.86344185299337
13,Summit County,08117,Summit,08,SUMMIT,117,592,30983,1910.73,567,25,4,4,0,87582,5763976,1519.47,2182,2060,8332,1095721,1724038,64,971,Colorado Department of Public Health and Environment,"Data through October 19, 2020",0.168272135535972,2.59953699733241
14,Pueblo County,08101,Pueblo,08,PUEBLO,101,1631,168110,970.2,1613,18,40,40,0,87582,5763976,1519.47,2182,2060,8332,1095721,1724038,64,971,Colorado Department of Public Health and Environment,"Data through October 19, 2020",0.638492791357976,3.43119645764386
15,Boulder County,08013,Boulder,08,BOULDER,013,5094,327164,1557.02,5042,52,84,84,0,87582,5763976,1519.47,2182,2060,8332,1095721,1724038,64,971,Colorado Department of Public Health and Environment,"Data through October 19, 2020",0.202534731038213,2.38337519766668
16,Denver County,08031,Denver,08,DENVER,031,16240,729239,2226.98,16117,123,441,440,1,87582,5763976,1519.47,2182,2060,8332,1095721,1724038,64,971,Colorado Department of Public Health and Environment,"Data through October 19, 2020",0.0421858562244779,2.74534829005677
17,Montrose County,08085,Montrose,08,MONTROSE,085,422,42765,986.79,422,0,13,13,0,87582,5763976,1519.47,2182,2060,8332,1095721,1724038,64,971,Colorado Department of Public Health and Environment,"Data through October 19, 2020",0.599092173290956,4.59010271530844
18,Eagle County,08037,Eagle,08,EAGLE,037,1353,55070,2456.87,1344,9,10,10,0,87582,5763976,1519.47,2182,2060,8332,1095721,1724038,64,971,Colorado Department of Public Health and Environment,"Data through October 19, 2020",0.459671486366005,3.15805055528872
19,San Miguel County,08113,San Miguel,08,SAN MIGUEL,113,100,8174,1223.39,100,0,,,,87582,5763976,1519.47,2182,2060,8332,1095721,1724038,64,971,Colorado Department of Public Health and Environment,"Data through October 19, 2020",0.34238906379619,3.44955895760726
20,Costilla County,08023,Costilla,08,COSTILLA,023,35,3872,903.93,35,0,1,1,0,87582,5763976,1519.47,2182,2060,8332,1095721,1724038,64,971,Colorado Department of Public Health and Environment,"Data through October 19, 2020",0.323925261744535,2.63276788664489
21,Broomfield County,08014,Broomfield,08,BROOMFIELD,014,824,70762,1164.47,798,26,40,40,0,87582,5763976,1519.47,2182,2060,8332,1095721,1724038,64,971,Colorado Department of Public Health and Environment,"Data through October 19, 2020",0.00915797640027449,1.17463684380326
22,Chaffee County,08015,Chaffee,08,CHAFFEE,015,373,20361,1831.93,372,1,20,20,0,87582,5763976,1519.47,2182,2060,8332,1095721,1724038,64,971,Colorado Department of Public Health and Environment,"Data through October 19, 2020",0.272389218158423,3.12582249110702
23,Crowley County,08025,Crowley,08,CROWLEY,025,81,6032,1342.84,81,0,1,1,0,87582,5763976,1519.47,2182,2060,8332,1095721,1724038,64,971,Colorado Department of Public Health and Environment,"Data through October 19, 2020",0.213559245320994,1.95538842532836
24,Fremont County,08043,Fremont,08,FREMONT,043,536,47645,1124.99,513,23,1,1,0,87582,5763976,1519.47,2182,2060,8332,1095721,1724038,64,971,Colorado Department of Public Health and Environment,"Data through October 19, 2020",0.410131013649561,3.08744487725261
25,Huerfano County,08055,Huerfano,08,HUERFANO,055,29,6854,423.11,28,1,2,2,0,87582,5763976,1519.47,2182,2060,8332,1095721,1724038,64,971,Colorado Department of Public Health and Environment,"Data through October 19, 2020",0.421501116506988,3.86938754513048
26,Delta County,08029,Delta,08,DELTA,029,195,31173,625.54,195,0,4,4,0,87582,5763976,1519.47,2182,2060,8332,1095721,1724038,64,971,Colorado Department of Public Health and Environment,"Data through October 19, 2020",0.308746291500029,2.74902209908906
27,Garfield County,08045,Garfield,08,GARFIELD,045,1080,60168,1794.97,1074,6,5,5,0,87582,5763976,1519.47,2182,2060,8332,1095721,1724038,64,971,Colorado Department of Public Health and Environment,"Data through October 19, 2020",0.802786983200804,5.50838968438734
28,Rio Blanco County,08103,Rio Blanco,08,RIO BLANCO,103,26,6307,412.24,25,1,,,,87582,5763976,1519.47,2182,2060,8332,1095721,1724038,64,971,Colorado Department of Public Health and Environment,"Data through October 19, 2020",0.880092618354411,5.18126958764129
29,Morgan County,08087,Morgan,08,MORGAN,087,822,28984,2836.05,817,5,48,48,0,87582,5763976,1519.47,2182,2060,8332,1095721,1724038,64,971,Colorado Department of Public Health and Environment,"Data through October 19, 2020",0.354778438383164,2.4152700222455
30,Lincoln County,08073,Lincoln,08,LINCOLN,073,24,5692,421.64,24,0,,,,87582,5763976,1519.47,2182,2060,8332,1095721,1724038,64,971,Colorado Department of Public Health and Environment,"Data through October 19, 2020",0.696476992948874,3.90098185833429
31,Montezuma County,08083,Montezuma,08,MONTEZUMA,083,182,26160,695.72,184,-2,5,5,0,87582,5763976,1519.47,2182,2060,8332,1095721,1724038,64,971,Colorado Department of Public Health and Environment,"Data through October 19, 2020",0.537190899236975,3.2924330468367
32,Adams County,08001,Adams,08,ADAMS,001,12200,517885,2355.74,12020,180,248,248,0,87582,5763976,1519.47,2182,2060,8332,1095721,1724038,64,971,Colorado Department of Public Health and Environment,"Data through October 19, 2020",0.322672523779602,4.3210831973844
33,Mineral County,08079,Mineral,08,MINERAL,079,21,764,2748.69,21,0,,,,87582,5763976,1519.47,2182,2060,8332,1095721,1724038,64,971,Colorado Department of Public Health and Environment,"Data through October 19, 2020",0.232168624270344,2.04506683988138
34,Otero County,08089,Otero,08,OTERO,089,119,18281,650.95,119,0,6,6,0,87582,5763976,1519.47,2182,2060,8332,1095721,1724038,64,971,Colorado Department of Public Health and Environment,"Data through October 19, 2020",0.336877498493777,2.65281032058161
35,Phillips County,08095,Phillips,08,PHILLIPS,095,39,4278,911.64,37,2,,,,87582,5763976,1519.47,2182,2060,8332,1095721,1724038,64,971,Colorado Department of Public Health and Environment,"Data through October 19, 2020",0.189577963613374,1.84809838653474
36,Ouray County,08091,Ouray,08,OURAY,091,33,4934,668.83,33,0,1,1,0,87582,5763976,1519.47,2182,2060,8332,1095721,1724038,64,971,Colorado Department of Public Health and Environment,"Data through October 19, 2020",0.144347976659674,2.22546024391623
37,Bent County,08011,Bent,08,BENT,011,12,5798,206.97,12,0,,,,87582,5763976,1519.47,2182,2060,8332,1095721,1724038,64,971,Colorado Department of Public Health and Environment,"Data through October 19, 2020",0.409167926002738,2.57239140514481
38,Archuleta County,08007,Archuleta,08,ARCHULETA,007,61,14002,435.65,61,0,,,,87582,5763976,1519.47,2182,2060,8332,1095721,1724038,64,971,Colorado Department of Public Health and Environment,"Data through October 19, 2020",0.356264414261886,2.77748645536479
39,Routt County,08107,Routt,08,ROUTT,107,193,25652,752.38,187,6,8,8,0,87582,5763976,1519.47,2182,2060,8332,1095721,1724038,64,971,Colorado Department of Public Health and Environment,"Data through October 19, 2020",0.651459520021035,4.10509579084708
40,Hinsdale County,08053,Hinsdale,08,HINSDALE,053,3,819,-1,3,0,,,,87582,5763976,1519.47,2182,2060,8332,1095721,1724038,64,971,Colorado Department of Public Health and Environment,"Data through October 19, 2020",0.29767108910778,2.84695016312372
41,Weld County,08123,Weld,08,WELD,123,5507,323763,1700.94,5442,65,158,158,0,87582,5763976,1519.47,2182,2060,8332,1095721,1724038,64,971,Colorado Department of Public Health and Environment,"Data through October 19, 2020",1.10610954447702,5.09979297775078
42,Larimer County,08069,Larimer,08,LARIMER,069,3600,356938,1008.58,3547,53,55,55,0,87582,5763976,1519.47,2182,2060,8332,1095721,1724038,64,971,Colorado Department of Public Health and Environment,"Data through October 19, 2020",0.726530757031469,3.89982681544696
43,Lake County,08065,Lake,08,LAKE,065,121,8081,1497.34,118,3,,,,87582,5763976,1519.47,2182,2060,8332,1095721,1724038,64,971,Colorado Department of Public Health and Environment,"Data through October 19, 2020",0.103687200717559,1.72745358078377
44,Rio Grande County,08105,Rio Grande,08,RIO GRANDE,105,115,11238,1023.31,115,0,2,2,0,87582,5763976,1519.47,2182,2060,8332,1095721,1724038,64,971,Colorado Department of Public Health and Environment,"Data through October 19, 2020",0.241033137835757,2.21073822643431
45,Gilpin County,08047,Gilpin,08,GILPIN,047,25,6215,402.25,24,1,,,,87582,5763976,1519.47,2182,2060,8332,1095721,1724038,64,971,Colorado Department of Public Health and Environment,"Data through October 19, 2020",0.0409605716740771,0.973252095597924
46,Yuma County,08125,Yuma,08,YUMA,125,189,10063,1878.17,188,1,1,1,0,87582,5763976,1519.47,2182,2060,8332,1095721,1724038,64,971,Colorado Department of Public Health and Environment,"Data through October 19, 2020",0.647060268172481,3.24382405750967
47,Jackson County,08057,Jackson,08,JACKSON,057,9,1383,650.76,9,0,,,,87582,5763976,1519.47,2182,2060,8332,1095721,1724038,64,971,Colorado Department of Public Health and Environment,"Data through October 19, 2020",0.447106418412659,3.77163984101511
48,Kit Carson County,08063,Kit Carson,08,KIT CARSON,063,107,7128,1501.12,103,4,3,3,0,87582,5763976,1519.47,2182,2060,8332,1095721,1724038,64,971,Colorado Department of Public Health and Environment,"Data through October 19, 2020",0.584674359648034,3.28545636703058
49,Clear Creek County,08019,Clear Creek,08,CLEAR CREEK,019,63,9740,646.82,63,0,1,1,0,87582,5763976,1519.47,2182,2060,8332,1095721,1724038,64,971,Colorado Department of Public Health and Environment,"Data through October 19, 2020",0.107815475126699,1.7200936574538
50,Logan County,08075,Logan,08,LOGAN,075,1104,21914,5037.88,1089,15,10,10,0,87582,5763976,1519.47,2182,2060,8332,1095721,1724038,64,971,Colorado Department of Public Health and Environment,"Data through October 19, 2020",0.509315868637259,2.98709243190606
51,Washington County,08121,Washington,08,WASHINGTON,121,78,4742,1644.88,78,0,,,,87582,5763976,1519.47,2182,2060,8332,1095721,1724038,64,971,Colorado Department of Public Health and Environment,"Data through October 19, 2020",0.689156198508726,3.59641099493637
