OBJECTID,FULL_,GEOID,LABEL,STAETFP,COUNTY,COUNTYFP,County_Pos_Cases,County_Population,County_Rate_Per_100_000,County_Pos_Cases_Yesterday,County_Pos_Cases_Change,County_Deaths,County_Deaths_Yesterday,County_Deaths_Change,State_Pos_Cases,State_Population,State_Rate_Per_100000,State_Deaths,State_CDC_Deaths,State_Number_Hospitalizations,State_Number_Tested,State_Test_Encounters,State_Number_of_Counties_Pos,State_Number_of_Outbreaks,Data_Source,Date_Data_Last_Updated,Shape__Area,Shape__Length
1,Saguache County,08109,Saguache,08,SAGUACHE,109,392,6824,5744.43,392,0,4,4,0,532389,5763976,9236.49,6450,6572,29240,3000976,8259329,64,5246,Colorado Department of Public Health and Environment,"Data through May 16, 2021",0.84314903059385,4.39184364534676
2,Sedgwick County,08115,Sedgwick,08,SEDGWICK,115,233,2229,10453.12,233,0,2,2,0,532389,5763976,9236.49,6450,6572,29240,3000976,8259329,64,5246,Colorado Department of Public Health and Environment,"Data through May 16, 2021",0.152011070952994,1.7075458304623
3,Cheyenne County,08017,Cheyenne,08,CHEYENNE,017,129,1825,7068.49,129,0,6,6,0,532389,5763976,9236.49,6450,6572,29240,3000976,8259329,64,5246,Colorado Department of Public Health and Environment,"Data through May 16, 2021",0.478627830943196,3.11127071445578
4,Custer County,08027,Custer,08,CUSTER,027,198,5059,3913.82,198,0,1,1,0,532389,5763976,9236.49,6450,6572,29240,3000976,8259329,64,5246,Colorado Department of Public Health and Environment,"Data through May 16, 2021",0.196859248573446,2.36450252969444
5,La Plata County,08067,La Plata,08,LA PLATA,067,3961,56272,7039.02,3959,2,39,39,0,532389,5763976,9236.49,6450,6572,29240,3000976,8259329,64,5246,Colorado Department of Public Health and Environment,"Data through May 16, 2021",0.447277846552652,3.02281991599123
6,San Juan County,08111,San Juan,08,SAN JUAN,111,47,726,6473.83,47,0,,,,532389,5763976,9236.49,6450,6572,29240,3000976,8259329,64,5246,Colorado Department of Public Health and Environment,"Data through May 16, 2021",0.102833675325428,1.71664098503411
7,Pitkin County,08097,Pitkin,08,PITKIN,097,2588,17756,14575.35,2587,1,4,4,0,532389,5763976,9236.49,6450,6572,29240,3000976,8259329,64,5246,Colorado Department of Public Health and Environment,"Data through May 16, 2021",0.262895469540581,2.99758337931076
8,Park County,08093,Park,08,PARK,093,769,18844,4080.87,768,1,5,5,0,532389,5763976,9236.49,6450,6572,29240,3000976,8259329,64,5246,Colorado Department of Public Health and Environment,"Data through May 16, 2021",0.596376486070085,3.79219717353281
9,Alamosa County,08003,Alamosa,08,ALAMOSA,003,1594,16181,9851.06,1590,4,31,31,0,532389,5763976,9236.49,6450,6572,29240,3000976,8259329,64,5246,Colorado Department of Public Health and Environment,"Data through May 16, 2021",0.19106400063788,1.83562564586585
10,Prowers County,08099,Prowers,08,PROWERS,099,1244,12122,10262.33,1243,1,22,22,0,532389,5763976,9236.49,6450,6572,29240,3000976,8259329,64,5246,Colorado Department of Public Health and Environment,"Data through May 16, 2021",0.436578121041293,2.65950781753648
11,Moffat County,08081,Moffat,08,MOFFAT,081,786,13252,5931.18,783,3,22,22,0,532389,5763976,9236.49,6450,6572,29240,3000976,8259329,64,5246,Colorado Department of Public Health and Environment,"Data through May 16, 2021",1.30950090392707,5.03264724477475
12,Jefferson County,08059,Jefferson,08,JEFFERSON,059,47193,583081,8093.73,47148,45,771,771,0,532389,5763976,9236.49,6450,6572,29240,3000976,8259329,64,5246,Colorado Department of Public Health and Environment,"Data through May 16, 2021",0.210187679847877,2.86344185299337
13,Summit County,08117,Summit,08,SUMMIT,117,3711,30983,11977.54,3705,6,8,8,0,532389,5763976,9236.49,6450,6572,29240,3000976,8259329,64,5246,Colorado Department of Public Health and Environment,"Data through May 16, 2021",0.168272135535972,2.59953699733241
14,Pueblo County,08101,Pueblo,08,PUEBLO,101,18770,168110,11165.31,18747,23,392,392,0,532389,5763976,9236.49,6450,6572,29240,3000976,8259329,64,5246,Colorado Department of Public Health and Environment,"Data through May 16, 2021",0.638492791357976,3.43119645764386
15,Boulder County,08013,Boulder,08,BOULDER,013,23412,327164,7156.04,23396,16,232,232,0,532389,5763976,9236.49,6450,6572,29240,3000976,8259329,64,5246,Colorado Department of Public Health and Environment,"Data through May 16, 2021",0.202534731038213,2.38337519766668
16,Denver County,08031,Denver,08,DENVER,031,72378,729239,9925.14,72338,40,817,817,0,532389,5763976,9236.49,6450,6572,29240,3000976,8259329,64,5246,Colorado Department of Public Health and Environment,"Data through May 16, 2021",0.0421858562244779,2.74534829005677
17,Montrose County,08085,Montrose,08,MONTROSE,085,3494,42765,8170.23,3491,3,58,58,0,532389,5763976,9236.49,6450,6572,29240,3000976,8259329,64,5246,Colorado Department of Public Health and Environment,"Data through May 16, 2021",0.599092173290956,4.59010271530844
18,Eagle County,08037,Eagle,08,EAGLE,037,6297,55070,11434.54,6297,0,22,22,0,532389,5763976,9236.49,6450,6572,29240,3000976,8259329,64,5246,Colorado Department of Public Health and Environment,"Data through May 16, 2021",0.459671486366005,3.15805055528872
19,San Miguel County,08113,San Miguel,08,SAN MIGUEL,113,877,8174,10729.14,876,1,,,,532389,5763976,9236.49,6450,6572,29240,3000976,8259329,64,5246,Colorado Department of Public Health and Environment,"Data through May 16, 2021",0.34238906379619,3.44955895760726
20,Costilla County,08023,Costilla,08,COSTILLA,023,230,3872,5940.08,226,4,3,3,0,532389,5763976,9236.49,6450,6572,29240,3000976,8259329,64,5246,Colorado Department of Public Health and Environment,"Data through May 16, 2021",0.323925261744535,2.63276788664489
21,Broomfield County,08014,Broomfield,08,BROOMFIELD,014,4827,70762,6821.46,4823,4,75,75,0,532389,5763976,9236.49,6450,6572,29240,3000976,8259329,64,5246,Colorado Department of Public Health and Environment,"Data through May 16, 2021",0.00915797640027449,1.17463684380326
22,Chaffee County,08015,Chaffee,08,CHAFFEE,015,1672,20361,8211.78,1672,0,25,25,0,532389,5763976,9236.49,6450,6572,29240,3000976,8259329,64,5246,Colorado Department of Public Health and Environment,"Data through May 16, 2021",0.272389218158423,3.12582249110702
23,Crowley County,08025,Crowley,08,CROWLEY,025,2198,6032,36438.99,2198,0,15,15,0,532389,5763976,9236.49,6450,6572,29240,3000976,8259329,64,5246,Colorado Department of Public Health and Environment,"Data through May 16, 2021",0.213559245320994,1.95538842532836
24,Fremont County,08043,Fremont,08,FREMONT,043,6290,47645,13201.81,6289,1,57,57,0,532389,5763976,9236.49,6450,6572,29240,3000976,8259329,64,5246,Colorado Department of Public Health and Environment,"Data through May 16, 2021",0.410131013649561,3.08744487725261
25,Huerfano County,08055,Huerfano,08,HUERFANO,055,417,6854,6084.04,417,0,17,17,0,532389,5763976,9236.49,6450,6572,29240,3000976,8259329,64,5246,Colorado Department of Public Health and Environment,"Data through May 16, 2021",0.421501116506988,3.86938754513048
26,Delta County,08029,Delta,08,DELTA,029,2739,31173,8786.45,2739,0,61,61,0,532389,5763976,9236.49,6450,6572,29240,3000976,8259329,64,5246,Colorado Department of Public Health and Environment,"Data through May 16, 2021",0.308746291500029,2.74902209908906
27,Garfield County,08045,Garfield,08,GARFIELD,045,5847,60168,9717.79,5841,6,39,39,0,532389,5763976,9236.49,6450,6572,29240,3000976,8259329,64,5246,Colorado Department of Public Health and Environment,"Data through May 16, 2021",0.802786983200804,5.50838968438734
