OBJECTID,FULL_,GEOID,LABEL,STAETFP,COUNTY,COUNTYFP,County_Pos_Cases,County_Population,County_Rate_Per_100_000,County_Pos_Cases_Yesterday,County_Pos_Cases_Change,County_Deaths,County_Deaths_Yesterday,County_Deaths_Change,State_Pos_Cases,State_Population,State_Rate_Per_100000,State_Deaths,State_CDC_Deaths,State_Number_Hospitalizations,State_Number_Tested,State_Test_Encounters,State_Number_of_Counties_Pos,State_Number_of_Outbreaks,Data_Source,Date_Data_Last_Updated,Shape__Area,Shape__Length
1,Saguache County,08109,Saguache,08,SAGUACHE,109,292,6824,4279.02,292,0,4,4,0,402714,5763976,6986.74,5704,5454,22258,2437626,5594425,64,3614,Colorado Department of Public Health and Environment,"Data through February 4, 2021",0.84314903059385,4.39184364534676
2,Sedgwick County,08115,Sedgwick,08,SEDGWICK,115,190,2229,8524,189,1,2,2,0,402714,5763976,6986.74,5704,5454,22258,2437626,5594425,64,3614,Colorado Department of Public Health and Environment,"Data through February 4, 2021",0.152011070952994,1.7075458304623
3,Cheyenne County,08017,Cheyenne,08,CHEYENNE,017,124,1825,6794.52,123,1,5,5,0,402714,5763976,6986.74,5704,5454,22258,2437626,5594425,64,3614,Colorado Department of Public Health and Environment,"Data through February 4, 2021",0.478627830943196,3.11127071445578
4,Custer County,08027,Custer,08,CUSTER,027,160,5059,3162.68,160,0,1,1,0,402714,5763976,6986.74,5704,5454,22258,2437626,5594425,64,3614,Colorado Department of Public Health and Environment,"Data through February 4, 2021",0.196859248573446,2.36450252969444
5,La Plata County,08067,La Plata,08,LA PLATA,067,2733,56272,4856.77,2715,18,35,35,0,402714,5763976,6986.74,5704,5454,22258,2437626,5594425,64,3614,Colorado Department of Public Health and Environment,"Data through February 4, 2021",0.447277846552652,3.02281991599123
6,San Juan County,08111,San Juan,08,SAN JUAN,111,42,726,5785.12,42,0,,,,402714,5763976,6986.74,5704,5454,22258,2437626,5594425,64,3614,Colorado Department of Public Health and Environment,"Data through February 4, 2021",0.102833675325428,1.71664098503411
7,Pitkin County,08097,Pitkin,08,PITKIN,097,1865,17756,10503.49,1855,10,4,4,0,402714,5763976,6986.74,5704,5454,22258,2437626,5594425,64,3614,Colorado Department of Public Health and Environment,"Data through February 4, 2021",0.262895469540581,2.99758337931076
8,Park County,08093,Park,08,PARK,093,504,18844,2674.59,502,2,5,5,0,402714,5763976,6986.74,5704,5454,22258,2437626,5594425,64,3614,Colorado Department of Public Health and Environment,"Data through February 4, 2021",0.596376486070085,3.79219717353281
9,Alamosa County,08003,Alamosa,08,ALAMOSA,003,1203,16181,7434.65,1193,10,28,28,0,402714,5763976,6986.74,5704,5454,22258,2437626,5594425,64,3614,Colorado Department of Public Health and Environment,"Data through February 4, 2021",0.19106400063788,1.83562564586585
10,Prowers County,08099,Prowers,08,PROWERS,099,1144,12122,9437.39,1141,3,21,21,0,402714,5763976,6986.74,5704,5454,22258,2437626,5594425,64,3614,Colorado Department of Public Health and Environment,"Data through February 4, 2021",0.436578121041293,2.65950781753648
11,Moffat County,08081,Moffat,08,MOFFAT,081,630,13252,4754,629,1,22,22,0,402714,5763976,6986.74,5704,5454,22258,2437626,5594425,64,3614,Colorado Department of Public Health and Environment,"Data through February 4, 2021",1.30950090392707,5.03264724477475
12,Jefferson County,08059,Jefferson,08,JEFFERSON,059,35072,583081,6014.94,34966,106,691,684,7,402714,5763976,6986.74,5704,5454,22258,2437626,5594425,64,3614,Colorado Department of Public Health and Environment,"Data through February 4, 2021",0.210187679847877,2.86344185299337
13,Summit County,08117,Summit,08,SUMMIT,117,2734,30983,8824.19,2712,22,5,5,0,402714,5763976,6986.74,5704,5454,22258,2437626,5594425,64,3614,Colorado Department of Public Health and Environment,"Data through February 4, 2021",0.168272135535972,2.59953699733241
14,Pueblo County,08101,Pueblo,08,PUEBLO,101,14407,168110,8569.98,14389,18,359,360,-1,402714,5763976,6986.74,5704,5454,22258,2437626,5594425,64,3614,Colorado Department of Public Health and Environment,"Data through February 4, 2021",0.638492791357976,3.43119645764386
15,Boulder County,08013,Boulder,08,BOULDER,013,17531,327164,5358.47,17437,94,215,215,0,402714,5763976,6986.74,5704,5454,22258,2437626,5594425,64,3614,Colorado Department of Public Health and Environment,"Data through February 4, 2021",0.202534731038213,2.38337519766668
16,Denver County,08031,Denver,08,DENVER,031,56402,729239,7734.36,56202,200,740,740,0,402714,5763976,6986.74,5704,5454,22258,2437626,5594425,64,3614,Colorado Department of Public Health and Environment,"Data through February 4, 2021",0.0421858562244779,2.74534829005677
17,Montrose County,08085,Montrose,08,MONTROSE,085,3068,42765,7174.09,3054,14,46,45,1,402714,5763976,6986.74,5704,5454,22258,2437626,5594425,64,3614,Colorado Department of Public Health and Environment,"Data through February 4, 2021",0.599092173290956,4.59010271530844
18,Eagle County,08037,Eagle,08,EAGLE,037,4553,55070,8267.66,4522,31,19,19,0,402714,5763976,6986.74,5704,5454,22258,2437626,5594425,64,3614,Colorado Department of Public Health and Environment,"Data through February 4, 2021",0.459671486366005,3.15805055528872
19,San Miguel County,08113,San Miguel,08,SAN MIGUEL,113,720,8174,8808.42,703,17,,,,402714,5763976,6986.74,5704,5454,22258,2437626,5594425,64,3614,Colorado Department of Public Health and Environment,"Data through February 4, 2021",0.34238906379619,3.44955895760726
20,Costilla County,08023,Costilla,08,COSTILLA,023,179,3872,4622.93,179,0,2,2,0,402714,5763976,6986.74,5704,5454,22258,2437626,5594425,64,3614,Colorado Department of Public Health and Environment,"Data through February 4, 2021",0.323925261744535,2.63276788664489
21,Broomfield County,08014,Broomfield,08,BROOMFIELD,014,3497,70762,4941.92,3466,31,72,71,1,402714,5763976,6986.74,5704,5454,22258,2437626,5594425,64,3614,Colorado Department of Public Health and Environment,"Data through February 4, 2021",0.00915797640027449,1.17463684380326
22,Chaffee County,08015,Chaffee,08,CHAFFEE,015,1339,20361,6576.3,1333,6,23,23,0,402714,5763976,6986.74,5704,5454,22258,2437626,5594425,64,3614,Colorado Department of Public Health and Environment,"Data through February 4, 2021",0.272389218158423,3.12582249110702
23,Crowley County,08025,Crowley,08,CROWLEY,025,1884,6032,31233.42,1818,66,14,14,0,402714,5763976,6986.74,5704,5454,22258,2437626,5594425,64,3614,Colorado Department of Public Health and Environment,"Data through February 4, 2021",0.213559245320994,1.95538842532836
24,Fremont County,08043,Fremont,08,FREMONT,043,5215,47645,10945.53,5195,20,38,37,1,402714,5763976,6986.74,5704,5454,22258,2437626,5594425,64,3614,Colorado Department of Public Health and Environment,"Data through February 4, 2021",0.410131013649561,3.08744487725261
25,Huerfano County,08055,Huerfano,08,HUERFANO,055,293,6854,4274.88,293,0,17,17,0,402714,5763976,6986.74,5704,5454,22258,2437626,5594425,64,3614,Colorado Department of Public Health and Environment,"Data through February 4, 2021",0.421501116506988,3.86938754513048
26,Delta County,08029,Delta,08,DELTA,029,2372,31173,7609.15,2362,10,55,55,0,402714,5763976,6986.74,5704,5454,22258,2437626,5594425,64,3614,Colorado Department of Public Health and Environment,"Data through February 4, 2021",0.308746291500029,2.74902209908906
27,Garfield County,08045,Garfield,08,GARFIELD,045,4895,60168,8135.55,4877,18,37,37,0,402714,5763976,6986.74,5704,5454,22258,2437626,5594425,64,3614,Colorado Department of Public Health and Environment,"Data through February 4, 2021",0.802786983200804,5.50838968438734
28,Rio Blanco County,08103,Rio Blanco,08,RIO BLANCO,103,419,6307,6643.41,411,8,3,3,0,402714,5763976,6986.74,5704,5454,22258,2437626,5594425,64,3614,Colorado Department of Public Health and Environment,"Data through February 4, 2021",0.880092618354411,5.18126958764129
29,Morgan County,08087,Morgan,08,MORGAN,087,2381,28984,8214.88,2374,7,89,89,0,402714,5763976,6986.74,5704,5454,22258,2437626,5594425,64,3614,Colorado Department of Public Health and Environment,"Data through February 4, 2021",0.354778438383164,2.4152700222455
30,Lincoln County,08073,Lincoln,08,LINCOLN,073,964,5692,16936.05,959,5,3,3,0,402714,5763976,6986.74,5704,5454,22258,2437626,5594425,64,3614,Colorado Department of Public Health and Environment,"Data through February 4, 2021",0.696476992948874,3.90098185833429
31,Montezuma County,08083,Montezuma,08,MONTEZUMA,083,1663,26160,6357.03,1650,13,23,22,1,402714,5763976,6986.74,5704,5454,22258,2437626,5594425,64,3614,Colorado Department of Public Health and Environment,"Data through February 4, 2021",0.537190899236975,3.2924330468367
