OBJECTID,FULL_,GEOID,LABEL,STAETFP,COUNTY,COUNTYFP,County_Pos_Cases,County_Population,County_Rate_Per_100_000,County_Pos_Cases_Yesterday,County_Pos_Cases_Change,County_Deaths,County_Deaths_Yesterday,County_Deaths_Change,State_Pos_Cases,State_Population,State_Rate_Per_100000,State_Deaths,State_CDC_Deaths,State_Number_Hospitalizations,State_Number_Tested,State_Test_Encounters,State_Number_of_Counties_Pos,State_Number_of_Outbreaks,Data_Source,Date_Data_Last_Updated,Shape__Area,Shape__Length
1,Saguache County,08109,Saguache,08,SAGUACHE,109,436,6824,6389.21,435,1,5,5,0,555569,5763976,9638.64,6765,6961,31431,3152372,8965927,64,5491,Colorado Department of Public Health and Environment,"Data through June 23, 2021",0.84314903059385,4.39184364534676
2,Sedgwick County,08115,Sedgwick,08,SEDGWICK,115,236,2229,10587.71,236,0,3,3,0,555569,5763976,9638.64,6765,6961,31431,3152372,8965927,64,5491,Colorado Department of Public Health and Environment,"Data through June 23, 2021",0.152011070952994,1.7075458304623
3,Cheyenne County,08017,Cheyenne,08,CHEYENNE,017,130,1825,7123.29,130,0,6,6,0,555569,5763976,9638.64,6765,6961,31431,3152372,8965927,64,5491,Colorado Department of Public Health and Environment,"Data through June 23, 2021",0.478627830943196,3.11127071445578
4,Custer County,08027,Custer,08,CUSTER,027,224,5059,4427.75,224,0,2,2,0,555569,5763976,9638.64,6765,6961,31431,3152372,8965927,64,5491,Colorado Department of Public Health and Environment,"Data through June 23, 2021",0.196859248573446,2.36450252969444
5,La Plata County,08067,La Plata,08,LA PLATA,067,4119,56272,7319.8,4114,5,41,41,0,555569,5763976,9638.64,6765,6961,31431,3152372,8965927,64,5491,Colorado Department of Public Health and Environment,"Data through June 23, 2021",0.447277846552652,3.02281991599123
6,San Juan County,08111,San Juan,08,SAN JUAN,111,47,726,6473.83,47,0,,,,555569,5763976,9638.64,6765,6961,31431,3152372,8965927,64,5491,Colorado Department of Public Health and Environment,"Data through June 23, 2021",0.102833675325428,1.71664098503411
7,Pitkin County,08097,Pitkin,08,PITKIN,097,2608,17756,14687.99,2607,1,4,4,0,555569,5763976,9638.64,6765,6961,31431,3152372,8965927,64,5491,Colorado Department of Public Health and Environment,"Data through June 23, 2021",0.262895469540581,2.99758337931076
8,Park County,08093,Park,08,PARK,093,828,18844,4393.97,828,0,5,5,0,555569,5763976,9638.64,6765,6961,31431,3152372,8965927,64,5491,Colorado Department of Public Health and Environment,"Data through June 23, 2021",0.596376486070085,3.79219717353281
9,Alamosa County,08003,Alamosa,08,ALAMOSA,003,1717,16181,10611.21,1716,1,37,37,0,555569,5763976,9638.64,6765,6961,31431,3152372,8965927,64,5491,Colorado Department of Public Health and Environment,"Data through June 23, 2021",0.19106400063788,1.83562564586585
10,Prowers County,08099,Prowers,08,PROWERS,099,1277,12122,10534.57,1276,1,22,22,0,555569,5763976,9638.64,6765,6961,31431,3152372,8965927,64,5491,Colorado Department of Public Health and Environment,"Data through June 23, 2021",0.436578121041293,2.65950781753648
11,Moffat County,08081,Moffat,08,MOFFAT,081,985,13252,7432.84,969,16,24,24,0,555569,5763976,9638.64,6765,6961,31431,3152372,8965927,64,5491,Colorado Department of Public Health and Environment,"Data through June 23, 2021",1.30950090392707,5.03264724477475
