OBJECTID,FULL_,GEOID,LABEL,STAETFP,COUNTY,COUNTYFP,County_Pos_Cases,County_Population,County_Rate_Per_100_000,County_Pos_Cases_Yesterday,County_Pos_Cases_Change,County_Deaths,County_Deaths_Yesterday,County_Deaths_Change,State_Pos_Cases,State_Population,State_Rate_Per_100000,State_Deaths,State_CDC_Deaths,State_Number_Hospitalizations,State_Number_Tested,State_Test_Encounters,State_Number_of_Counties_Pos,State_Number_of_Outbreaks,Data_Source,Date_Data_Last_Updated,Shape__Area,Shape__Length
1,Saguache County,08109,Saguache,08,SAGUACHE,109,393,6824,5759.09,392,1,4,4,0,533119,5763976,9249.15,6456,6582,29436,3004348,8270665,64,5261,Colorado Department of Public Health and Environment,"Data through May 17, 2021",0.84314903059385,4.39184364534676
2,Sedgwick County,08115,Sedgwick,08,SEDGWICK,115,233,2229,10453.12,233,0,2,2,0,533119,5763976,9249.15,6456,6582,29436,3004348,8270665,64,5261,Colorado Department of Public Health and Environment,"Data through May 17, 2021",0.152011070952994,1.7075458304623
3,Cheyenne County,08017,Cheyenne,08,CHEYENNE,017,128,1825,7013.7,129,-1,6,6,0,533119,5763976,9249.15,6456,6582,29436,3004348,8270665,64,5261,Colorado Department of Public Health and Environment,"Data through May 17, 2021",0.478627830943196,3.11127071445578
4,Custer County,08027,Custer,08,CUSTER,027,198,5059,3913.82,198,0,1,1,0,533119,5763976,9249.15,6456,6582,29436,3004348,8270665,64,5261,Colorado Department of Public Health and Environment,"Data through May 17, 2021",0.196859248573446,2.36450252969444
5,La Plata County,08067,La Plata,08,LA PLATA,067,3961,56272,7039.02,3961,0,39,39,0,533119,5763976,9249.15,6456,6582,29436,3004348,8270665,64,5261,Colorado Department of Public Health and Environment,"Data through May 17, 2021",0.447277846552652,3.02281991599123
6,San Juan County,08111,San Juan,08,SAN JUAN,111,46,726,6336.09,47,-1,,,,533119,5763976,9249.15,6456,6582,29436,3004348,8270665,64,5261,Colorado Department of Public Health and Environment,"Data through May 17, 2021",0.102833675325428,1.71664098503411
7,Pitkin County,08097,Pitkin,08,PITKIN,097,2589,17756,14580.99,2588,1,4,4,0,533119,5763976,9249.15,6456,6582,29436,3004348,8270665,64,5261,Colorado Department of Public Health and Environment,"Data through May 17, 2021",0.262895469540581,2.99758337931076
8,Park County,08093,Park,08,PARK,093,770,18844,4086.18,769,1,5,5,0,533119,5763976,9249.15,6456,6582,29436,3004348,8270665,64,5261,Colorado Department of Public Health and Environment,"Data through May 17, 2021",0.596376486070085,3.79219717353281
9,Alamosa County,08003,Alamosa,08,ALAMOSA,003,1597,16181,9869.6,1594,3,31,31,0,533119,5763976,9249.15,6456,6582,29436,3004348,8270665,64,5261,Colorado Department of Public Health and Environment,"Data through May 17, 2021",0.19106400063788,1.83562564586585
10,Prowers County,08099,Prowers,08,PROWERS,099,1247,12122,10287.08,1244,3,22,22,0,533119,5763976,9249.15,6456,6582,29436,3004348,8270665,64,5261,Colorado Department of Public Health and Environment,"Data through May 17, 2021",0.436578121041293,2.65950781753648
11,Moffat County,08081,Moffat,08,MOFFAT,081,788,13252,5946.27,786,2,22,22,0,533119,5763976,9249.15,6456,6582,29436,3004348,8270665,64,5261,Colorado Department of Public Health and Environment,"Data through May 17, 2021",1.30950090392707,5.03264724477475
12,Jefferson County,08059,Jefferson,08,JEFFERSON,059,47258,583081,8104.88,47193,65,773,771,2,533119,5763976,9249.15,6456,6582,29436,3004348,8270665,64,5261,Colorado Department of Public Health and Environment,"Data through May 17, 2021",0.210187679847877,2.86344185299337
13,Summit County,08117,Summit,08,SUMMIT,117,3712,30983,11980.76,3711,1,8,8,0,533119,5763976,9249.15,6456,6582,29436,3004348,8270665,64,5261,Colorado Department of Public Health and Environment,"Data through May 17, 2021",0.168272135535972,2.59953699733241
14,Pueblo County,08101,Pueblo,08,PUEBLO,101,18786,168110,11174.83,18770,16,392,392,0,533119,5763976,9249.15,6456,6582,29436,3004348,8270665,64,5261,Colorado Department of Public Health and Environment,"Data through May 17, 2021",0.638492791357976,3.43119645764386
15,Boulder County,08013,Boulder,08,BOULDER,013,23425,327164,7160.02,23412,13,232,232,0,533119,5763976,9249.15,6456,6582,29436,3004348,8270665,64,5261,Colorado Department of Public Health and Environment,"Data through May 17, 2021",0.202534731038213,2.38337519766668
16,Denver County,08031,Denver,08,DENVER,031,72418,729239,9930.63,72378,40,819,817,2,533119,5763976,9249.15,6456,6582,29436,3004348,8270665,64,5261,Colorado Department of Public Health and Environment,"Data through May 17, 2021",0.0421858562244779,2.74534829005677
17,Montrose County,08085,Montrose,08,MONTROSE,085,3496,42765,8174.91,3494,2,58,58,0,533119,5763976,9249.15,6456,6582,29436,3004348,8270665,64,5261,Colorado Department of Public Health and Environment,"Data through May 17, 2021",0.599092173290956,4.59010271530844
18,Eagle County,08037,Eagle,08,EAGLE,037,6298,55070,11436.35,6297,1,22,22,0,533119,5763976,9249.15,6456,6582,29436,3004348,8270665,64,5261,Colorado Department of Public Health and Environment,"Data through May 17, 2021",0.459671486366005,3.15805055528872
19,San Miguel County,08113,San Miguel,08,SAN MIGUEL,113,877,8174,10729.14,877,0,,,,533119,5763976,9249.15,6456,6582,29436,3004348,8270665,64,5261,Colorado Department of Public Health and Environment,"Data through May 17, 2021",0.34238906379619,3.44955895760726
20,Costilla County,08023,Costilla,08,COSTILLA,023,231,3872,5965.91,230,1,3,3,0,533119,5763976,9249.15,6456,6582,29436,3004348,8270665,64,5261,Colorado Department of Public Health and Environment,"Data through May 17, 2021",0.323925261744535,2.63276788664489
21,Broomfield County,08014,Broomfield,08,BROOMFIELD,014,4834,70762,6831.35,4827,7,75,75,0,533119,5763976,9249.15,6456,6582,29436,3004348,8270665,64,5261,Colorado Department of Public Health and Environment,"Data through May 17, 2021",0.00915797640027449,1.17463684380326
22,Chaffee County,08015,Chaffee,08,CHAFFEE,015,1679,20361,8246.16,1672,7,25,25,0,533119,5763976,9249.15,6456,6582,29436,3004348,8270665,64,5261,Colorado Department of Public Health and Environment,"Data through May 17, 2021",0.272389218158423,3.12582249110702
23,Crowley County,08025,Crowley,08,CROWLEY,025,2199,6032,36455.57,2198,1,15,15,0,533119,5763976,9249.15,6456,6582,29436,3004348,8270665,64,5261,Colorado Department of Public Health and Environment,"Data through May 17, 2021",0.213559245320994,1.95538842532836
24,Fremont County,08043,Fremont,08,FREMONT,043,6294,47645,13210.2,6290,4,57,57,0,533119,5763976,9249.15,6456,6582,29436,3004348,8270665,64,5261,Colorado Department of Public Health and Environment,"Data through May 17, 2021",0.410131013649561,3.08744487725261
25,Huerfano County,08055,Huerfano,08,HUERFANO,055,417,6854,6084.04,417,0,17,17,0,533119,5763976,9249.15,6456,6582,29436,3004348,8270665,64,5261,Colorado Department of Public Health and Environment,"Data through May 17, 2021",0.421501116506988,3.86938754513048
26,Delta County,08029,Delta,08,DELTA,029,2742,31173,8796.07,2739,3,61,61,0,533119,5763976,9249.15,6456,6582,29436,3004348,8270665,64,5261,Colorado Department of Public Health and Environment,"Data through May 17, 2021",0.308746291500029,2.74902209908906
27,Garfield County,08045,Garfield,08,GARFIELD,045,5849,60168,9721.11,5847,2,39,39,0,533119,5763976,9249.15,6456,6582,29436,3004348,8270665,64,5261,Colorado Department of Public Health and Environment,"Data through May 17, 2021",0.802786983200804,5.50838968438734
28,Rio Blanco County,08103,Rio Blanco,08,RIO BLANCO,103,576,6307,9132.71,575,1,4,4,0,533119,5763976,9249.15,6456,6582,29436,3004348,8270665,64,5261,Colorado Department of Public Health and Environment,"Data through May 17, 2021",0.880092618354411,5.18126958764129
29,Morgan County,08087,Morgan,08,MORGAN,087,2680,28984,9246.48,2676,4,94,94,0,533119,5763976,9249.15,6456,6582,29436,3004348,8270665,64,5261,Colorado Department of Public Health and Environment,"Data through May 17, 2021",0.354778438383164,2.4152700222455
30,Lincoln County,08073,Lincoln,08,LINCOLN,073,1028,5692,18060.44,1028,0,4,4,0,533119,5763976,9249.15,6456,6582,29436,3004348,8270665,64,5261,Colorado Department of Public Health and Environment,"Data through May 17, 2021",0.696476992948874,3.90098185833429
31,Montezuma County,08083,Montezuma,08,MONTEZUMA,083,1945,26160,7435.02,1943,2,24,24,0,533119,5763976,9249.15,6456,6582,29436,3004348,8270665,64,5261,Colorado Department of Public Health and Environment,"Data through May 17, 2021",0.537190899236975,3.2924330468367
32,Adams County,08001,Adams,08,ADAMS,001,58802,517885,11354.26,58722,80,689,687,2,533119,5763976,9249.15,6456,6582,29436,3004348,8270665,64,5261,Colorado Department of Public Health and Environment,"Data through May 17, 2021",0.322672523779602,4.3210831973844
33,Mineral County,08079,Mineral,08,MINERAL,079,91,764,11910.99,91,0,1,1,0,533119,5763976,9249.15,6456,6582,29436,3004348,8270665,64,5261,Colorado Department of Public Health and Environment,"Data through May 17, 2021",0.232168624270344,2.04506683988138
34,Otero County,08089,Otero,08,OTERO,089,2027,18281,11088.01,2024,3,66,66,0,533119,5763976,9249.15,6456,6582,29436,3004348,8270665,64,5261,Colorado Department of Public Health and Environment,"Data through May 17, 2021",0.336877498493777,2.65281032058161
35,Phillips County,08095,Phillips,08,PHILLIPS,095,384,4278,8976.16,383,1,13,13,0,533119,5763976,9249.15,6456,6582,29436,3004348,8270665,64,5261,Colorado Department of Public Health and Environment,"Data through May 17, 2021",0.189577963613374,1.84809838653474
36,Ouray County,08091,Ouray,08,OURAY,091,284,4934,5755.98,284,0,3,3,0,533119,5763976,9249.15,6456,6582,29436,3004348,8270665,64,5261,Colorado Department of Public Health and Environment,"Data through May 17, 2021",0.144347976659674,2.22546024391623
37,Bent County,08011,Bent,08,BENT,011,1536,5798,26491.89,1536,0,21,21,0,533119,5763976,9249.15,6456,6582,29436,3004348,8270665,64,5261,Colorado Department of Public Health and Environment,"Data through May 17, 2021",0.409167926002738,2.57239140514481
38,Archuleta County,08007,Archuleta,08,ARCHULETA,007,967,14002,6906.16,962,5,1,1,0,533119,5763976,9249.15,6456,6582,29436,3004348,8270665,64,5261,Colorado Department of Public Health and Environment,"Data through May 17, 2021",0.356264414261886,2.77748645536479
39,Routt County,08107,Routt,08,ROUTT,107,2222,25652,8662.09,2218,4,20,20,0,533119,5763976,9249.15,6456,6582,29436,3004348,8270665,64,5261,Colorado Department of Public Health and Environment,"Data through May 17, 2021",0.651459520021035,4.10509579084708
40,Hinsdale County,08053,Hinsdale,08,HINSDALE,053,19,819,2319.9,18,1,,,,533119,5763976,9249.15,6456,6582,29436,3004348,8270665,64,5261,Colorado Department of Public Health and Environment,"Data through May 17, 2021",0.29767108910778,2.84695016312372
41,Weld County,08123,Weld,08,WELD,123,31944,323763,9866.48,31890,54,339,341,-2,533119,5763976,9249.15,6456,6582,29436,3004348,8270665,64,5261,Colorado Department of Public Health and Environment,"Data through May 17, 2021",1.10610954447702,5.09979297775078
42,Larimer County,08069,Larimer,08,LARIMER,069,26572,356938,7444.43,26539,33,240,240,0,533119,5763976,9249.15,6456,6582,29436,3004348,8270665,64,5261,Colorado Department of Public Health and Environment,"Data through May 17, 2021",0.726530757031469,3.89982681544696
43,Lake County,08065,Lake,08,LAKE,065,793,8081,9813.14,792,1,,,,533119,5763976,9249.15,6456,6582,29436,3004348,8270665,64,5261,Colorado Department of Public Health and Environment,"Data through May 17, 2021",0.103687200717559,1.72745358078377
44,Rio Grande County,08105,Rio Grande,08,RIO GRANDE,105,826,11238,7350.06,822,4,15,15,0,533119,5763976,9249.15,6456,6582,29436,3004348,8270665,64,5261,Colorado Department of Public Health and Environment,"Data through May 17, 2021",0.241033137835757,2.21073822643431
45,Gilpin County,08047,Gilpin,08,GILPIN,047,246,6215,3958.17,245,1,3,3,0,533119,5763976,9249.15,6456,6582,29436,3004348,8270665,64,5261,Colorado Department of Public Health and Environment,"Data through May 17, 2021",0.0409605716740771,0.973252095597924
46,Yuma County,08125,Yuma,08,YUMA,125,913,10063,9072.84,911,2,17,17,0,533119,5763976,9249.15,6456,6582,29436,3004348,8270665,64,5261,Colorado Department of Public Health and Environment,"Data through May 17, 2021",0.647060268172481,3.24382405750967
47,Jackson County,08057,Jackson,08,JACKSON,057,59,1383,4266.09,59,0,,,,533119,5763976,9249.15,6456,6582,29436,3004348,8270665,64,5261,Colorado Department of Public Health and Environment,"Data through May 17, 2021",0.447106418412659,3.77163984101511
48,Kit Carson County,08063,Kit Carson,08,KIT CARSON,063,621,7128,8712.12,619,2,11,11,0,533119,5763976,9249.15,6456,6582,29436,3004348,8270665,64,5261,Colorado Department of Public Health and Environment,"Data through May 17, 2021",0.584674359648034,3.28545636703058
49,Clear Creek County,08019,Clear Creek,08,CLEAR CREEK,019,449,9740,4609.86,449,0,3,3,0,533119,5763976,9249.15,6456,6582,29436,3004348,8270665,64,5261,Colorado Department of Public Health and Environment,"Data through May 17, 2021",0.107815475126699,1.7200936574538
50,Logan County,08075,Logan,08,LOGAN,075,3987,21914,18193.85,3983,4,67,67,0,533119,5763976,9249.15,6456,6582,29436,3004348,8270665,64,5261,Colorado Department of Public Health and Environment,"Data through May 17, 2021",0.509315868637259,2.98709243190606
51,Washington County,08121,Washington,08,WASHINGTON,121,459,4742,9679.46,458,1,13,13,0,533119,5763976,9249.15,6456,6582,29436,3004348,8270665,64,5261,Colorado Department of Public Health and Environment,"Data through May 17, 2021",0.689156198508726,3.59641099493637
52,Douglas County,08035,Douglas,08,DOUGLAS,035,29036,351528,8259.94,29011,25,237,237,0,533119,5763976,9249.15,6456,6582,29436,3004348,8270665,64,5261,Colorado Department of Public Health and Environment,"Data through May 17, 2021",0.228049517556883,2.24626729887819
53,Conejos County,08021,Conejos,08,CONEJOS,021,626,8161,7670.63,624,2,12,12,0,533119,5763976,9249.15,6456,6582,29436,3004348,8270665,64,5261,Colorado Department of Public Health and Environment,"Data through May 17, 2021",0.339368543220644,2.79157037289597
54,El Paso County,08041,El Paso,08,EL PASO,041,68078,722493,9422.65,67882,196,818,818,0,533119,5763976,9249.15,6456,6582,29436,3004348,8270665,64,5261,Colorado Department of Public Health and Environment,"Data through May 17, 2021",0.57220360663473,3.26110555570835
55,Kiowa County,08061,Kiowa,08,KIOWA,061,95,1395,6810.04,95,0,3,3,0,533119,5763976,9249.15,6456,6582,29436,3004348,8270665,64,5261,Colorado Department of Public Health and Environment,"Data through May 17, 2021",0.477252055292865,3.61712328220314
56,Teller County,08119,Teller,08,TELLER,119,1767,25355,6969.04,1760,7,15,15,0,533119,5763976,9249.15,6456,6582,29436,3004348,8270665,64,5261,Colorado Department of Public Health and Environment,"Data through May 17, 2021",0.150289940799894,1.82234496665049
57,Gunnison County,08051,Gunnison,08,GUNNISON,051,1346,17495,7693.63,1345,1,6,6,0,533119,5763976,9249.15,6456,6582,29436,3004348,8270665,64,5261,Colorado Department of Public Health and Environment,"Data through May 17, 2021",0.873850227878847,5.3534077502362
58,Baca County,08009,Baca,08,BACA,009,311,3556,8745.78,310,1,4,4,0,533119,5763976,9249.15,6456,6582,29436,3004348,8270665,64,5261,Colorado Department of Public Health and Environment,"Data through May 17, 2021",0.673306733663821,3.38201391171949
59,Elbert County,08039,Elbert,08,ELBERT,039,1764,26686,6610.21,1760,4,13,13,0,533119,5763976,9249.15,6456,6582,29436,3004348,8270665,64,5261,Colorado Department of Public Health and Environment,"Data through May 17, 2021",0.500512699317142,3.29599722898002
60,Mesa County,08077,Mesa,08,MESA,077,15133,154933,9767.45,15099,34,219,218,1,533119,5763976,9249.15,6456,6582,29436,3004348,8270665,64,5261,Colorado Department of Public Health and Environment,"Data through May 17, 2021",0.900045880504877,5.03656160808276
61,Dolores County,08033,Dolores,08,DOLORES,033,96,2037,4712.81,96,0,,,,533119,5763976,9249.15,6456,6582,29436,3004348,8270665,64,5261,Colorado Department of Public Health and Environment,"Data through May 17, 2021",0.282849017190074,3.16637669425976
62,Arapahoe County,08005,Arapahoe,08,ARAPAHOE,005,60297,656822,9180.11,60214,83,731,730,1,533119,5763976,9249.15,6456,6582,29436,3004348,8270665,64,5261,Colorado Department of Public Health and Environment,"Data through May 17, 2021",0.218915734368238,3.71431429249478
63,Las Animas County,08071,Las Animas,08,LAS ANIMAS,071,1134,14493,7824.47,1133,1,12,12,0,533119,5763976,9249.15,6456,6582,29436,3004348,8270665,64,5261,Colorado Department of Public Health and Environment,"Data through May 17, 2021",1.25727666851049,5.53775154815317
64,Grand County,08049,Grand,08,GRAND,049,1474,15718,9377.78,1473,1,6,6,0,533119,5763976,9249.15,6456,6582,29436,3004348,8270665,64,5261,Colorado Department of Public Health and Environment,"Data through May 17, 2021",0.511446195800545,4.13096504799278
65,OUT OF STATE,,OUT OF STATE,08,OUT OF STATE,,,,,,,,,,533119,5763976,9249.15,6456,6582,29436,3004348,8270665,64,5261,Colorado Department of Public Health and Environment,"Data through May 17, 2021",,
66,UNKNOWN,,UNKNOWN,08,UNKNOWN,,,,,,,,,,533119,5763976,9249.15,6456,6582,29436,3004348,8270665,64,5261,Colorado Department of Public Health and Environment,"Data through May 17, 2021",,
67,INTERNATIONAL,,INTERNATIONAL,08,INTERNATIONAL,,67,,,67,0,,,,533119,5763976,9249.15,6456,6582,29436,3004348,8270665,64,5261,Colorado Department of Public Health and Environment,"Data through May 17, 2021",,
