OBJECTID,FULL_,GEOID,LABEL,STAETFP,COUNTY,COUNTYFP,County_Pos_Cases,County_Population,County_Rate_Per_100_000,County_Pos_Cases_Yesterday,County_Pos_Cases_Change,County_Deaths,County_Deaths_Yesterday,County_Deaths_Change,State_Pos_Cases,State_Population,State_Rate_Per_100000,State_Deaths,State_CDC_Deaths,State_Number_Hospitalizations,State_Number_Tested,State_Test_Encounters,State_Number_of_Counties_Pos,State_Number_of_Outbreaks,Data_Source,Date_Data_Last_Updated,Shape__Area,Shape__Length
1,Saguache County,08109,Saguache,08,SAGUACHE,109,370,6824,5422.04,368,2,4,4,0,514721,5763976,8929.96,6306,6474,28098,2923759,7880920,64,4967,Colorado Department of Public Health and Environment,"Data through May 2, 2021",0.84314903059385,4.39184364534676
2,Sedgwick County,08115,Sedgwick,08,SEDGWICK,115,213,2229,9555.85,213,0,2,2,0,514721,5763976,8929.96,6306,6474,28098,2923759,7880920,64,4967,Colorado Department of Public Health and Environment,"Data through May 2, 2021",0.152011070952994,1.7075458304623
3,Cheyenne County,08017,Cheyenne,08,CHEYENNE,017,127,1825,6958.9,127,0,6,6,0,514721,5763976,8929.96,6306,6474,28098,2923759,7880920,64,4967,Colorado Department of Public Health and Environment,"Data through May 2, 2021",0.478627830943196,3.11127071445578
4,Custer County,08027,Custer,08,CUSTER,027,191,5059,3775.45,190,1,1,1,0,514721,5763976,8929.96,6306,6474,28098,2923759,7880920,64,4967,Colorado Department of Public Health and Environment,"Data through May 2, 2021",0.196859248573446,2.36450252969444
5,La Plata County,08067,La Plata,08,LA PLATA,067,3851,56272,6843.55,3846,5,39,39,0,514721,5763976,8929.96,6306,6474,28098,2923759,7880920,64,4967,Colorado Department of Public Health and Environment,"Data through May 2, 2021",0.447277846552652,3.02281991599123
6,San Juan County,08111,San Juan,08,SAN JUAN,111,52,726,7162.53,52,0,2,2,0,514721,5763976,8929.96,6306,6474,28098,2923759,7880920,64,4967,Colorado Department of Public Health and Environment,"Data through May 2, 2021",0.102833675325428,1.71664098503411
7,Pitkin County,08097,Pitkin,08,PITKIN,097,2579,17756,14524.67,2579,0,4,4,0,514721,5763976,8929.96,6306,6474,28098,2923759,7880920,64,4967,Colorado Department of Public Health and Environment,"Data through May 2, 2021",0.262895469540581,2.99758337931076
8,Park County,08093,Park,08,PARK,093,739,18844,3921.67,739,0,5,5,0,514721,5763976,8929.96,6306,6474,28098,2923759,7880920,64,4967,Colorado Department of Public Health and Environment,"Data through May 2, 2021",0.596376486070085,3.79219717353281
9,Alamosa County,08003,Alamosa,08,ALAMOSA,003,1466,16181,9060.01,1463,3,30,30,0,514721,5763976,8929.96,6306,6474,28098,2923759,7880920,64,4967,Colorado Department of Public Health and Environment,"Data through May 2, 2021",0.19106400063788,1.83562564586585
10,Prowers County,08099,Prowers,08,PROWERS,099,1207,12122,9957.1,1206,1,21,21,0,514721,5763976,8929.96,6306,6474,28098,2923759,7880920,64,4967,Colorado Department of Public Health and Environment,"Data through May 2, 2021",0.436578121041293,2.65950781753648
11,Moffat County,08081,Moffat,08,MOFFAT,081,754,13252,5689.71,752,2,22,22,0,514721,5763976,8929.96,6306,6474,28098,2923759,7880920,64,4967,Colorado Department of Public Health and Environment,"Data through May 2, 2021",1.30950090392707,5.03264724477475
12,Jefferson County,08059,Jefferson,08,JEFFERSON,059,45453,583081,7795.31,45356,97,751,750,1,514721,5763976,8929.96,6306,6474,28098,2923759,7880920,64,4967,Colorado Department of Public Health and Environment,"Data through May 2, 2021",0.210187679847877,2.86344185299337
13,Summit County,08117,Summit,08,SUMMIT,117,3683,30983,11887.16,3679,4,7,7,0,514721,5763976,8929.96,6306,6474,28098,2923759,7880920,64,4967,Colorado Department of Public Health and Environment,"Data through May 2, 2021",0.168272135535972,2.59953699733241
14,Pueblo County,08101,Pueblo,08,PUEBLO,101,18040,168110,10731.07,17982,58,377,377,0,514721,5763976,8929.96,6306,6474,28098,2923759,7880920,64,4967,Colorado Department of Public Health and Environment,"Data through May 2, 2021",0.638492791357976,3.43119645764386
15,Boulder County,08013,Boulder,08,BOULDER,013,22979,327164,7023.69,22954,25,230,230,0,514721,5763976,8929.96,6306,6474,28098,2923759,7880920,64,4967,Colorado Department of Public Health and Environment,"Data through May 2, 2021",0.202534731038213,2.38337519766668
16,Denver County,08031,Denver,08,DENVER,031,70779,729239,9705.87,70708,71,806,806,0,514721,5763976,8929.96,6306,6474,28098,2923759,7880920,64,4967,Colorado Department of Public Health and Environment,"Data through May 2, 2021",0.0421858562244779,2.74534829005677
17,Montrose County,08085,Montrose,08,MONTROSE,085,3436,42765,8034.61,3434,2,57,57,0,514721,5763976,8929.96,6306,6474,28098,2923759,7880920,64,4967,Colorado Department of Public Health and Environment,"Data through May 2, 2021",0.599092173290956,4.59010271530844
18,Eagle County,08037,Eagle,08,EAGLE,037,6234,55070,11320.14,6231,3,22,22,0,514721,5763976,8929.96,6306,6474,28098,2923759,7880920,64,4967,Colorado Department of Public Health and Environment,"Data through May 2, 2021",0.459671486366005,3.15805055528872
19,San Miguel County,08113,San Miguel,08,SAN MIGUEL,113,874,8174,10692.44,872,2,,,,514721,5763976,8929.96,6306,6474,28098,2923759,7880920,64,4967,Colorado Department of Public Health and Environment,"Data through May 2, 2021",0.34238906379619,3.44955895760726
20,Costilla County,08023,Costilla,08,COSTILLA,023,208,3872,5371.9,208,0,2,2,0,514721,5763976,8929.96,6306,6474,28098,2923759,7880920,64,4967,Colorado Department of Public Health and Environment,"Data through May 2, 2021",0.323925261744535,2.63276788664489
21,Broomfield County,08014,Broomfield,08,BROOMFIELD,014,4700,70762,6641.98,4690,10,75,75,0,514721,5763976,8929.96,6306,6474,28098,2923759,7880920,64,4967,Colorado Department of Public Health and Environment,"Data through May 2, 2021",0.00915797640027449,1.17463684380326
22,Chaffee County,08015,Chaffee,08,CHAFFEE,015,1636,20361,8034.97,1633,3,25,25,0,514721,5763976,8929.96,6306,6474,28098,2923759,7880920,64,4967,Colorado Department of Public Health and Environment,"Data through May 2, 2021",0.272389218158423,3.12582249110702
23,Crowley County,08025,Crowley,08,CROWLEY,025,2182,6032,36173.74,2181,1,15,15,0,514721,5763976,8929.96,6306,6474,28098,2923759,7880920,64,4967,Colorado Department of Public Health and Environment,"Data through May 2, 2021",0.213559245320994,1.95538842532836
24,Fremont County,08043,Fremont,08,FREMONT,043,6111,47645,12826.11,6098,13,55,55,0,514721,5763976,8929.96,6306,6474,28098,2923759,7880920,64,4967,Colorado Department of Public Health and Environment,"Data through May 2, 2021",0.410131013649561,3.08744487725261
25,Huerfano County,08055,Huerfano,08,HUERFANO,055,392,6854,5719.29,392,0,17,17,0,514721,5763976,8929.96,6306,6474,28098,2923759,7880920,64,4967,Colorado Department of Public Health and Environment,"Data through May 2, 2021",0.421501116506988,3.86938754513048
26,Delta County,08029,Delta,08,DELTA,029,2672,31173,8571.52,2671,1,61,61,0,514721,5763976,8929.96,6306,6474,28098,2923759,7880920,64,4967,Colorado Department of Public Health and Environment,"Data through May 2, 2021",0.308746291500029,2.74902209908906
