OBJECTID,FULL_,GEOID,LABEL,STAETFP,COUNTY,COUNTYFP,County_Pos_Cases,County_Population,County_Rate_Per_100_000,County_Pos_Cases_Yesterday,County_Pos_Cases_Change,County_Deaths,County_Deaths_Yesterday,County_Deaths_Change,State_Pos_Cases,State_Population,State_Rate_Per_100000,State_Deaths,State_CDC_Deaths,State_Number_Hospitalizations,State_Number_Tested,State_Test_Encounters,State_Number_of_Counties_Pos,State_Number_of_Outbreaks,Data_Source,Date_Data_Last_Updated,Shape__Area,Shape__Length
1,Saguache County,08109,Saguache,08,SAGUACHE,109,270,6824,3956.62,264,6,4,4,0,358947,5763976,6227.42,5190,4107,19962,2229924,4736803,64,3179,Colorado Department of Public Health and Environment,"Data through January 8, 2021",0.84314903059385,4.39184364534676
2,Sedgwick County,08115,Sedgwick,08,SEDGWICK,115,160,2229,7178.11,157,3,2,2,0,358947,5763976,6227.42,5190,4107,19962,2229924,4736803,64,3179,Colorado Department of Public Health and Environment,"Data through January 8, 2021",0.152011070952994,1.7075458304623
3,Cheyenne County,08017,Cheyenne,08,CHEYENNE,017,105,1825,5753.42,102,3,5,5,0,358947,5763976,6227.42,5190,4107,19962,2229924,4736803,64,3179,Colorado Department of Public Health and Environment,"Data through January 8, 2021",0.478627830943196,3.11127071445578
4,Custer County,08027,Custer,08,CUSTER,027,154,5059,3044.08,151,3,,,,358947,5763976,6227.42,5190,4107,19962,2229924,4736803,64,3179,Colorado Department of Public Health and Environment,"Data through January 8, 2021",0.196859248573446,2.36450252969444
5,La Plata County,08067,La Plata,08,LA PLATA,067,2418,56272,4296.99,2381,37,29,29,0,358947,5763976,6227.42,5190,4107,19962,2229924,4736803,64,3179,Colorado Department of Public Health and Environment,"Data through January 8, 2021",0.447277846552652,3.02281991599123
6,San Juan County,08111,San Juan,08,SAN JUAN,111,31,726,4269.97,32,-1,,,,358947,5763976,6227.42,5190,4107,19962,2229924,4736803,64,3179,Colorado Department of Public Health and Environment,"Data through January 8, 2021",0.102833675325428,1.71664098503411
7,Pitkin County,08097,Pitkin,08,PITKIN,097,1395,17756,7856.5,1344,51,4,4,0,358947,5763976,6227.42,5190,4107,19962,2229924,4736803,64,3179,Colorado Department of Public Health and Environment,"Data through January 8, 2021",0.262895469540581,2.99758337931076
8,Park County,08093,Park,08,PARK,093,428,18844,2271.28,422,6,5,5,0,358947,5763976,6227.42,5190,4107,19962,2229924,4736803,64,3179,Colorado Department of Public Health and Environment,"Data through January 8, 2021",0.596376486070085,3.79219717353281
9,Alamosa County,08003,Alamosa,08,ALAMOSA,003,1001,16181,6186.27,996,5,25,25,0,358947,5763976,6227.42,5190,4107,19962,2229924,4736803,64,3179,Colorado Department of Public Health and Environment,"Data through January 8, 2021",0.19106400063788,1.83562564586585
10,Prowers County,08099,Prowers,08,PROWERS,099,1051,12122,8670.19,1046,5,20,20,0,358947,5763976,6227.42,5190,4107,19962,2229924,4736803,64,3179,Colorado Department of Public Health and Environment,"Data through January 8, 2021",0.436578121041293,2.65950781753648
11,Moffat County,08081,Moffat,08,MOFFAT,081,565,13252,4263.51,563,2,21,21,0,358947,5763976,6227.42,5190,4107,19962,2229924,4736803,64,3179,Colorado Department of Public Health and Environment,"Data through January 8, 2021",1.30950090392707,5.03264724477475
12,Jefferson County,08059,Jefferson,08,JEFFERSON,059,31516,583081,5405.08,31305,211,646,644,2,358947,5763976,6227.42,5190,4107,19962,2229924,4736803,64,3179,Colorado Department of Public Health and Environment,"Data through January 8, 2021",0.210187679847877,2.86344185299337
13,Summit County,08117,Summit,08,SUMMIT,117,2265,30983,7310.46,2231,34,5,5,0,358947,5763976,6227.42,5190,4107,19962,2229924,4736803,64,3179,Colorado Department of Public Health and Environment,"Data through January 8, 2021",0.168272135535972,2.59953699733241
14,Pueblo County,08101,Pueblo,08,PUEBLO,101,13763,168110,8186.9,13679,84,335,334,1,358947,5763976,6227.42,5190,4107,19962,2229924,4736803,64,3179,Colorado Department of Public Health and Environment,"Data through January 8, 2021",0.638492791357976,3.43119645764386
15,Boulder County,08013,Boulder,08,BOULDER,013,15644,327164,4781.7,15516,128,185,182,3,358947,5763976,6227.42,5190,4107,19962,2229924,4736803,64,3179,Colorado Department of Public Health and Environment,"Data through January 8, 2021",0.202534731038213,2.38337519766668
