OBJECTID,FULL_,GEOID,LABEL,STAETFP,COUNTY,COUNTYFP,County_Pos_Cases,County_Population,County_Rate_Per_100_000,County_Pos_Cases_Yesterday,County_Pos_Cases_Change,County_Deaths,County_Deaths_Yesterday,County_Deaths_Change,State_Pos_Cases,State_Population,State_Rate_Per_100000,State_Deaths,State_CDC_Deaths,State_Number_Hospitalizations,State_Number_Tested,State_Test_Encounters,State_Number_of_Counties_Pos,State_Number_of_Outbreaks,Data_Source,Date_Data_Last_Updated,Shape__Area,Shape__Length
1,Saguache County,08109,Saguache,08,SAGUACHE,109,449,6824,6579.72,445,4,5,5,0,557004,5763976,9663.54,6776,6989,31562,3164353,9015992,64,5492,Colorado Department of Public Health and Environment,"Data through June 27, 2021",0.84314903059385,4.39184364534676
2,Sedgwick County,08115,Sedgwick,08,SEDGWICK,115,236,2229,10587.71,236,0,3,3,0,557004,5763976,9663.54,6776,6989,31562,3164353,9015992,64,5492,Colorado Department of Public Health and Environment,"Data through June 27, 2021",0.152011070952994,1.7075458304623
3,Cheyenne County,08017,Cheyenne,08,CHEYENNE,017,130,1825,7123.29,130,0,6,6,0,557004,5763976,9663.54,6776,6989,31562,3164353,9015992,64,5492,Colorado Department of Public Health and Environment,"Data through June 27, 2021",0.478627830943196,3.11127071445578
4,Custer County,08027,Custer,08,CUSTER,027,227,5059,4487.05,227,0,2,2,0,557004,5763976,9663.54,6776,6989,31562,3164353,9015992,64,5492,Colorado Department of Public Health and Environment,"Data through June 27, 2021",0.196859248573446,2.36450252969444
5,La Plata County,08067,La Plata,08,LA PLATA,067,4135,56272,7348.24,4134,1,41,41,0,557004,5763976,9663.54,6776,6989,31562,3164353,9015992,64,5492,Colorado Department of Public Health and Environment,"Data through June 27, 2021",0.447277846552652,3.02281991599123
6,San Juan County,08111,San Juan,08,SAN JUAN,111,47,726,6473.83,47,0,,,,557004,5763976,9663.54,6776,6989,31562,3164353,9015992,64,5492,Colorado Department of Public Health and Environment,"Data through June 27, 2021",0.102833675325428,1.71664098503411
7,Pitkin County,08097,Pitkin,08,PITKIN,097,2612,17756,14710.52,2612,0,4,4,0,557004,5763976,9663.54,6776,6989,31562,3164353,9015992,64,5492,Colorado Department of Public Health and Environment,"Data through June 27, 2021",0.262895469540581,2.99758337931076
8,Park County,08093,Park,08,PARK,093,830,18844,4404.59,830,0,5,5,0,557004,5763976,9663.54,6776,6989,31562,3164353,9015992,64,5492,Colorado Department of Public Health and Environment,"Data through June 27, 2021",0.596376486070085,3.79219717353281
9,Alamosa County,08003,Alamosa,08,ALAMOSA,003,1725,16181,10660.65,1723,2,37,37,0,557004,5763976,9663.54,6776,6989,31562,3164353,9015992,64,5492,Colorado Department of Public Health and Environment,"Data through June 27, 2021",0.19106400063788,1.83562564586585
10,Prowers County,08099,Prowers,08,PROWERS,099,1277,12122,10534.57,1277,0,22,22,0,557004,5763976,9663.54,6776,6989,31562,3164353,9015992,64,5492,Colorado Department of Public Health and Environment,"Data through June 27, 2021",0.436578121041293,2.65950781753648
11,Moffat County,08081,Moffat,08,MOFFAT,081,1005,13252,7583.76,999,6,25,25,0,557004,5763976,9663.54,6776,6989,31562,3164353,9015992,64,5492,Colorado Department of Public Health and Environment,"Data through June 27, 2021",1.30950090392707,5.03264724477475
12,Jefferson County,08059,Jefferson,08,JEFFERSON,059,48867,583081,8380.83,48850,17,801,802,-1,557004,5763976,9663.54,6776,6989,31562,3164353,9015992,64,5492,Colorado Department of Public Health and Environment,"Data through June 27, 2021",0.210187679847877,2.86344185299337
13,Summit County,08117,Summit,08,SUMMIT,117,3771,30983,12171.19,3768,3,8,8,0,557004,5763976,9663.54,6776,6989,31562,3164353,9015992,64,5492,Colorado Department of Public Health and Environment,"Data through June 27, 2021",0.168272135535972,2.59953699733241
14,Pueblo County,08101,Pueblo,08,PUEBLO,101,19573,168110,11642.97,19571,2,418,418,0,557004,5763976,9663.54,6776,6989,31562,3164353,9015992,64,5492,Colorado Department of Public Health and Environment,"Data through June 27, 2021",0.638492791357976,3.43119645764386
15,Boulder County,08013,Boulder,08,BOULDER,013,23968,327164,7325.99,23961,7,235,235,0,557004,5763976,9663.54,6776,6989,31562,3164353,9015992,64,5492,Colorado Department of Public Health and Environment,"Data through June 27, 2021",0.202534731038213,2.38337519766668
16,Denver County,08031,Denver,08,DENVER,031,74297,729239,10188.29,74288,9,843,842,1,557004,5763976,9663.54,6776,6989,31562,3164353,9015992,64,5492,Colorado Department of Public Health and Environment,"Data through June 27, 2021",0.0421858562244779,2.74534829005677
17,Montrose County,08085,Montrose,08,MONTROSE,085,3726,42765,8712.73,3724,2,65,65,0,557004,5763976,9663.54,6776,6989,31562,3164353,9015992,64,5492,Colorado Department of Public Health and Environment,"Data through June 27, 2021",0.599092173290956,4.59010271530844
18,Eagle County,08037,Eagle,08,EAGLE,037,6352,55070,11534.41,6352,0,23,23,0,557004,5763976,9663.54,6776,6989,31562,3164353,9015992,64,5492,Colorado Department of Public Health and Environment,"Data through June 27, 2021",0.459671486366005,3.15805055528872
19,San Miguel County,08113,San Miguel,08,SAN MIGUEL,113,921,8174,11267.43,921,0,1,1,0,557004,5763976,9663.54,6776,6989,31562,3164353,9015992,64,5492,Colorado Department of Public Health and Environment,"Data through June 27, 2021",0.34238906379619,3.44955895760726
20,Costilla County,08023,Costilla,08,COSTILLA,023,250,3872,6456.61,250,0,5,5,0,557004,5763976,9663.54,6776,6989,31562,3164353,9015992,64,5492,Colorado Department of Public Health and Environment,"Data through June 27, 2021",0.323925261744535,2.63276788664489
21,Broomfield County,08014,Broomfield,08,BROOMFIELD,014,4994,70762,7057.46,4991,3,76,76,0,557004,5763976,9663.54,6776,6989,31562,3164353,9015992,64,5492,Colorado Department of Public Health and Environment,"Data through June 27, 2021",0.00915797640027449,1.17463684380326
22,Chaffee County,08015,Chaffee,08,CHAFFEE,015,1767,20361,8678.36,1766,1,25,25,0,557004,5763976,9663.54,6776,6989,31562,3164353,9015992,64,5492,Colorado Department of Public Health and Environment,"Data through June 27, 2021",0.272389218158423,3.12582249110702
23,Crowley County,08025,Crowley,08,CROWLEY,025,2212,6032,36671.09,2212,0,16,16,0,557004,5763976,9663.54,6776,6989,31562,3164353,9015992,64,5492,Colorado Department of Public Health and Environment,"Data through June 27, 2021",0.213559245320994,1.95538842532836
24,Fremont County,08043,Fremont,08,FREMONT,043,6542,47645,13730.72,6540,2,63,63,0,557004,5763976,9663.54,6776,6989,31562,3164353,9015992,64,5492,Colorado Department of Public Health and Environment,"Data through June 27, 2021",0.410131013649561,3.08744487725261
25,Huerfano County,08055,Huerfano,08,HUERFANO,055,433,6854,6317.48,433,0,17,17,0,557004,5763976,9663.54,6776,6989,31562,3164353,9015992,64,5492,Colorado Department of Public Health and Environment,"Data through June 27, 2021",0.421501116506988,3.86938754513048
