OBJECTID,FULL_,GEOID,LABEL,STAETFP,COUNTY,COUNTYFP,County_Pos_Cases,County_Population,County_Rate_Per_100_000,County_Pos_Cases_Yesterday,County_Pos_Cases_Change,County_Deaths,County_Deaths_Yesterday,County_Deaths_Change,State_Pos_Cases,State_Population,State_Rate_Per_100000,State_Deaths,State_CDC_Deaths,State_Number_Hospitalizations,State_Number_Tested,State_Test_Encounters,State_Number_of_Counties_Pos,State_Number_of_Outbreaks,Data_Source,Date_Data_Last_Updated,Shape__Area,Shape__Length
1,Saguache County,08109,Saguache,08,SAGUACHE,109,384,6824,5627.2,384,0,4,4,0,523309,5763976,9078.96,6357,6508,28638,2957454,8049062,64,5119,Colorado Department of Public Health and Environment,"Data through May 8, 2021",0.84314903059385,4.39184364534676
2,Sedgwick County,08115,Sedgwick,08,SEDGWICK,115,225,2229,10094.21,225,0,2,2,0,523309,5763976,9078.96,6357,6508,28638,2957454,8049062,64,5119,Colorado Department of Public Health and Environment,"Data through May 8, 2021",0.152011070952994,1.7075458304623
3,Cheyenne County,08017,Cheyenne,08,CHEYENNE,017,128,1825,7013.7,128,0,6,6,0,523309,5763976,9078.96,6357,6508,28638,2957454,8049062,64,5119,Colorado Department of Public Health and Environment,"Data through May 8, 2021",0.478627830943196,3.11127071445578
4,Custer County,08027,Custer,08,CUSTER,027,197,5059,3894.05,196,1,1,1,0,523309,5763976,9078.96,6357,6508,28638,2957454,8049062,64,5119,Colorado Department of Public Health and Environment,"Data through May 8, 2021",0.196859248573446,2.36450252969444
5,La Plata County,08067,La Plata,08,LA PLATA,067,3917,56272,6960.83,3911,6,39,39,0,523309,5763976,9078.96,6357,6508,28638,2957454,8049062,64,5119,Colorado Department of Public Health and Environment,"Data through May 8, 2021",0.447277846552652,3.02281991599123
6,San Juan County,08111,San Juan,08,SAN JUAN,111,45,726,6198.35,45,0,,,,523309,5763976,9078.96,6357,6508,28638,2957454,8049062,64,5119,Colorado Department of Public Health and Environment,"Data through May 8, 2021",0.102833675325428,1.71664098503411
7,Pitkin County,08097,Pitkin,08,PITKIN,097,2585,17756,14558.46,2585,0,4,4,0,523309,5763976,9078.96,6357,6508,28638,2957454,8049062,64,5119,Colorado Department of Public Health and Environment,"Data through May 8, 2021",0.262895469540581,2.99758337931076
8,Park County,08093,Park,08,PARK,093,753,18844,3995.97,752,1,5,5,0,523309,5763976,9078.96,6357,6508,28638,2957454,8049062,64,5119,Colorado Department of Public Health and Environment,"Data through May 8, 2021",0.596376486070085,3.79219717353281
9,Alamosa County,08003,Alamosa,08,ALAMOSA,003,1514,16181,9356.65,1508,6,31,31,0,523309,5763976,9078.96,6357,6508,28638,2957454,8049062,64,5119,Colorado Department of Public Health and Environment,"Data through May 8, 2021",0.19106400063788,1.83562564586585
10,Prowers County,08099,Prowers,08,PROWERS,099,1230,12122,10146.84,1230,0,21,21,0,523309,5763976,9078.96,6357,6508,28638,2957454,8049062,64,5119,Colorado Department of Public Health and Environment,"Data through May 8, 2021",0.436578121041293,2.65950781753648
11,Moffat County,08081,Moffat,08,MOFFAT,081,777,13252,5863.27,774,3,22,22,0,523309,5763976,9078.96,6357,6508,28638,2957454,8049062,64,5119,Colorado Department of Public Health and Environment,"Data through May 8, 2021",1.30950090392707,5.03264724477475
12,Jefferson County,08059,Jefferson,08,JEFFERSON,059,46262,583081,7934.06,46181,81,760,760,0,523309,5763976,9078.96,6357,6508,28638,2957454,8049062,64,5119,Colorado Department of Public Health and Environment,"Data through May 8, 2021",0.210187679847877,2.86344185299337
13,Summit County,08117,Summit,08,SUMMIT,117,3701,30983,11945.26,3700,1,8,8,0,523309,5763976,9078.96,6357,6508,28638,2957454,8049062,64,5119,Colorado Department of Public Health and Environment,"Data through May 8, 2021",0.168272135535972,2.59953699733241
14,Pueblo County,08101,Pueblo,08,PUEBLO,101,18498,168110,11003.51,18457,41,383,383,0,523309,5763976,9078.96,6357,6508,28638,2957454,8049062,64,5119,Colorado Department of Public Health and Environment,"Data through May 8, 2021",0.638492791357976,3.43119645764386
15,Boulder County,08013,Boulder,08,BOULDER,013,23229,327164,7100.11,23206,23,232,232,0,523309,5763976,9078.96,6357,6508,28638,2957454,8049062,64,5119,Colorado Department of Public Health and Environment,"Data through May 8, 2021",0.202534731038213,2.38337519766668
16,Denver County,08031,Denver,08,DENVER,031,71613,729239,9820.24,71512,101,808,808,0,523309,5763976,9078.96,6357,6508,28638,2957454,8049062,64,5119,Colorado Department of Public Health and Environment,"Data through May 8, 2021",0.0421858562244779,2.74534829005677
17,Montrose County,08085,Montrose,08,MONTROSE,085,3462,42765,8095.41,3462,0,58,58,0,523309,5763976,9078.96,6357,6508,28638,2957454,8049062,64,5119,Colorado Department of Public Health and Environment,"Data through May 8, 2021",0.599092173290956,4.59010271530844
18,Eagle County,08037,Eagle,08,EAGLE,037,6268,55070,11381.88,6269,-1,22,22,0,523309,5763976,9078.96,6357,6508,28638,2957454,8049062,64,5119,Colorado Department of Public Health and Environment,"Data through May 8, 2021",0.459671486366005,3.15805055528872
19,San Miguel County,08113,San Miguel,08,SAN MIGUEL,113,876,8174,10716.91,875,1,,,,523309,5763976,9078.96,6357,6508,28638,2957454,8049062,64,5119,Colorado Department of Public Health and Environment,"Data through May 8, 2021",0.34238906379619,3.44955895760726
20,Costilla County,08023,Costilla,08,COSTILLA,023,214,3872,5526.86,213,1,3,3,0,523309,5763976,9078.96,6357,6508,28638,2957454,8049062,64,5119,Colorado Department of Public Health and Environment,"Data through May 8, 2021",0.323925261744535,2.63276788664489
21,Broomfield County,08014,Broomfield,08,BROOMFIELD,014,4766,70762,6735.25,4764,2,75,75,0,523309,5763976,9078.96,6357,6508,28638,2957454,8049062,64,5119,Colorado Department of Public Health and Environment,"Data through May 8, 2021",0.00915797640027449,1.17463684380326
22,Chaffee County,08015,Chaffee,08,CHAFFEE,015,1658,20361,8143.02,1657,1,25,25,0,523309,5763976,9078.96,6357,6508,28638,2957454,8049062,64,5119,Colorado Department of Public Health and Environment,"Data through May 8, 2021",0.272389218158423,3.12582249110702
23,Crowley County,08025,Crowley,08,CROWLEY,025,2188,6032,36273.21,2187,1,15,15,0,523309,5763976,9078.96,6357,6508,28638,2957454,8049062,64,5119,Colorado Department of Public Health and Environment,"Data through May 8, 2021",0.213559245320994,1.95538842532836
24,Fremont County,08043,Fremont,08,FREMONT,043,6216,47645,13046.49,6211,5,56,56,0,523309,5763976,9078.96,6357,6508,28638,2957454,8049062,64,5119,Colorado Department of Public Health and Environment,"Data through May 8, 2021",0.410131013649561,3.08744487725261
25,Huerfano County,08055,Huerfano,08,HUERFANO,055,409,6854,5967.32,407,2,17,17,0,523309,5763976,9078.96,6357,6508,28638,2957454,8049062,64,5119,Colorado Department of Public Health and Environment,"Data through May 8, 2021",0.421501116506988,3.86938754513048
26,Delta County,08029,Delta,08,DELTA,029,2697,31173,8651.72,2697,0,61,61,0,523309,5763976,9078.96,6357,6508,28638,2957454,8049062,64,5119,Colorado Department of Public Health and Environment,"Data through May 8, 2021",0.308746291500029,2.74902209908906
27,Garfield County,08045,Garfield,08,GARFIELD,045,5816,60168,9666.27,5810,6,38,38,0,523309,5763976,9078.96,6357,6508,28638,2957454,8049062,64,5119,Colorado Department of Public Health and Environment,"Data through May 8, 2021",0.802786983200804,5.50838968438734
28,Rio Blanco County,08103,Rio Blanco,08,RIO BLANCO,103,571,6307,9053.43,571,0,4,4,0,523309,5763976,9078.96,6357,6508,28638,2957454,8049062,64,5119,Colorado Department of Public Health and Environment,"Data through May 8, 2021",0.880092618354411,5.18126958764129
29,Morgan County,08087,Morgan,08,MORGAN,087,2643,28984,9118.82,2643,0,94,94,0,523309,5763976,9078.96,6357,6508,28638,2957454,8049062,64,5119,Colorado Department of Public Health and Environment,"Data through May 8, 2021",0.354778438383164,2.4152700222455
30,Lincoln County,08073,Lincoln,08,LINCOLN,073,1026,5692,18025.3,1026,0,4,4,0,523309,5763976,9078.96,6357,6508,28638,2957454,8049062,64,5119,Colorado Department of Public Health and Environment,"Data through May 8, 2021",0.696476992948874,3.90098185833429
31,Montezuma County,08083,Montezuma,08,MONTEZUMA,083,1912,26160,7308.87,1908,4,24,24,0,523309,5763976,9078.96,6357,6508,28638,2957454,8049062,64,5119,Colorado Department of Public Health and Environment,"Data through May 8, 2021",0.537190899236975,3.2924330468367
32,Adams County,08001,Adams,08,ADAMS,001,57574,517885,11117.14,57492,82,673,673,0,523309,5763976,9078.96,6357,6508,28638,2957454,8049062,64,5119,Colorado Department of Public Health and Environment,"Data through May 8, 2021",0.322672523779602,4.3210831973844
33,Mineral County,08079,Mineral,08,MINERAL,079,89,764,11649.21,89,0,1,1,0,523309,5763976,9078.96,6357,6508,28638,2957454,8049062,64,5119,Colorado Department of Public Health and Environment,"Data through May 8, 2021",0.232168624270344,2.04506683988138
