Date,NewCases,NewDeaths
3/5/20,2,0
3/6/20,6,0
3/7/20,0,0
3/8/20,0,0
3/9/20,4,0
3/10/20,5,0
3/11/20,16,0
3/12/20,16,0
3/13/20,28,1
3/14/20,24,0
3/15/20,34,0
3/16/20,25,0
3/17/20,23,1
3/18/20,33,0
3/19/20,61,2
3/20/20,86,0
3/21/20,112,2
3/22/20,116,1
3/23/20,129,2
3/24/20,192,2
3/25/20,174,8
3/26/20,344,8
3/27/20,304,6
3/28/20,325,11
3/29/20,234,4

